,Memory usage,RangeBF,LilRosetta p=0.8,Splash Rel. cut-off=0.8,Splash Abs. cut-off=0.8,SuRF Real,Layered CHaREQ h=13 b=1,Layered CHaREQ h=13 b=2,Layered CHaREQ h=13 b=3,SuRF Base,FST
0,12534,0.212965,,,,,,,,,
1,25034,0.0643216,,,,,,,,,
2,37534,0.0329648,,,,,,,,,
3,50034,0.0192965,,,,,,,,,
4,62534,0.0141709,,,,,,,,,
5,75034,0.0105528,,,,,,,,,
6,87534,0.00894472,,,,,,,,,
7,100034,0.00763819,,,,,,,,,
0,55101,,0.823518,,,,,,,,
1,82590,,0.137286,,,,,,,,
2,110076,,0.00723618,,,,,,,,
3,137568,,0.00261307,,,,,,,,
4,165053,,0.00040201,,,,,,,,
5,192544,,0.0,,,,,,,,
0,127361,,,0.0,,,,,,,
1,114164,,,0.0,,,,,,,
2,87790,,,0.0,,,,,,,
3,71339,,,0.0,,,,,,,
4,46243,,,0.0,,,,,,,
5,28482,,,0.000301508,,,,,,,
6,24709,,,0.00231156,,,,,,,
7,22981,,,0.0344724,,,,,,,
8,22918,,,0.0779899,,,,,,,
9,22909,,,0.12392,,,,,,,
10,22909,,,0.12392,,,,,,,
0,22909,,,,0.12392,,,,,,
1,22909,,,,0.12392,,,,,,
2,22915,,,,0.12392,,,,,,
3,22939,,,,0.12392,,,,,,
4,23081,,,,0.12392,,,,,,
5,24001,,,,0.12392,,,,,,
6,27580,,,,0.12392,,,,,,
7,38120,,,,0.12392,,,,,,
8,59864,,,,0.12392,,,,,,
9,91329,,,,0.123819,,,,,,
10,112836,,,,0.122513,,,,,,
11,123040,,,,0.115779,,,,,,
12,126269,,,,0.0937688,,,,,,
13,126937,,,,0.0510553,,,,,,
14,127361,,,,0.0,,,,,,
0,22883,,,,,0.12392,,,,,
0,93234,,,,,,0.038392,,,,
1,86985,,,,,,0.038392,,,,
2,83235,,,,,,0.038392,,,,
3,80735,,,,,,0.038392,,,,
4,78950,,,,,,0.038392,,,,
5,77610,,,,,,0.038392,,,,
0,84051,,,,,,,0.0702513,,,
1,77802,,,,,,,0.0702513,,,
2,74052,,,,,,,0.0702513,,,
3,71552,,,,,,,0.0702513,,,
4,69767,,,,,,,0.0702513,,,
5,68427,,,,,,,0.0702513,,,
0,74868,,,,,,,,0.11206,,
1,68619,,,,,,,,0.11206,,
2,64869,,,,,,,,0.11206,,
3,62369,,,,,,,,0.11206,,
4,60584,,,,,,,,0.11206,,
5,59244,,,,,,,,0.11206,,
0,22883,,,,,0.12392,,,,,
1,24147,,,,,0.12392,,,,,
2,25395,,,,,0.12392,,,,,
3,26643,,,,,0.123618,,,,,
4,27891,,,,,0.123618,,,,,
5,29139,,,,,0.0903518,,,,,
6,30395,,,,,0.0484422,,,,,
7,31643,,,,,0.0241206,,,,,
8,32891,,,,,0.0124623,,,,,
0,22883,,,,,,,,,0.12392,
0,127330,,,,,,,,,,0.0
