,Memory usage,RangeBF,LilRosetta p=0.8,Splash Rel. cut-off=0.8,Splash Abs. cut-off=0.8,Layered CHaREQ h=14 b=3,Layered CHaREQ h=14 b=4,Layered CHaREQ h=14 b=5,Layered CHaREQ h=14 b=6,SuRF Real,SuRF Base,FST
0,12534,0.0335034,,,,,,,,,,
1,25034,0.0010001,,,,,,,,,,
2,37534,0.0,,,,,,,,,,
3,50034,0.0,,,,,,,,,,
4,62534,0.0,,,,,,,,,,
5,75034,0.0,,,,,,,,,,
6,87534,0.0,,,,,,,,,,
7,100034,0.0,,,,,,,,,,
0,54554,,0.70257,,,,,,,,,
1,81749,,0.276728,,,,,,,,,
2,108972,,0.0821082,,,,,,,,,
3,136163,,0.0208021,,,,,,,,,
4,163387,,0.00650065,,,,,,,,,
5,190584,,0.00130013,,,,,,,,,
0,160643,,,0.0,,,,,,,,
1,147443,,,0.0,,,,,,,,
2,121031,,,0.0,,,,,,,,
3,107831,,,0.0,,,,,,,,
4,75875,,,0.0,,,,,,,,
5,49493,,,0.0010001,,,,,,,,
6,36397,,,0.010301,,,,,,,,
7,19579,,,0.427443,,,,,,,,
8,19579,,,0.427443,,,,,,,,
9,19579,,,0.427443,,,,,,,,
10,19579,,,0.427443,,,,,,,,
0,19579,,,,0.427443,,,,,,,
1,19579,,,,0.427443,,,,,,,
2,19579,,,,0.427443,,,,,,,
3,19579,,,,0.427443,,,,,,,
4,19579,,,,0.427443,,,,,,,
5,19579,,,,0.427443,,,,,,,
6,19579,,,,0.427443,,,,,,,
7,19591,,,,0.427443,,,,,,,
8,19681,,,,0.427443,,,,,,,
9,20409,,,,0.427443,,,,,,,
10,30057,,,,0.426543,,,,,,,
11,107921,,,,0.369137,,,,,,,
12,160643,,,,0.0,,,,,,,
13,160643,,,,0.0,,,,,,,
14,160643,,,,0.0,,,,,,,
0,75493,,,,,0.00060006,,,,,,
1,72369,,,,,0.00070007,,,,,,
2,70494,,,,,0.00070007,,,,,,
3,69243,,,,,0.00070007,,,,,,
4,68350,,,,,0.00070007,,,,,,
5,67681,,,,,0.00060006,,,,,,
0,75493,,,,,,0.00060006,,,,,
1,72369,,,,,,0.00070007,,,,,
2,70494,,,,,,0.00070007,,,,,
3,69243,,,,,,0.00070007,,,,,
4,68350,,,,,,0.00070007,,,,,
5,67681,,,,,,0.00060006,,,,,
0,19531,,,,,,,,,0.427443,,
1,20787,,,,,,,,,0.427443,,
2,22035,,,,,,,,,0.427443,,
3,23283,,,,,,,,,0.427443,,
4,24531,,,,,,,,,0.427443,,
5,25787,,,,,,,,,0.282228,,
6,27035,,,,,,,,,0.153915,,
7,28283,,,,,,,,,0.0823082,,
8,29531,,,,,,,,,0.0425043,,
0,19531,,,,,,,,,,0.427443,
0,160611,,,,,,,,,,,0.0
