,Memory usage,RangeBF,LilRosetta p=0.8,Splash Rel. cut-off=0.8,Splash Abs. cut-off=0.8,Layered CHaREQ h=14 b=3,Layered CHaREQ h=14 b=4,Layered CHaREQ h=14 b=5,Layered CHaREQ h=14 b=6,SuRF Real,SuRF Base,FST
0,12534,0.968655,,,,,,,,,,
1,25034,0.96409,,,,,,,,,,
2,37534,0.955873,,,,,,,,,,
3,50034,0.947961,,,,,,,,,,
4,62534,0.942788,,,,,,,,,,
5,75034,0.940049,,,,,,,,,,
6,87534,0.938223,,,,,,,,,,
7,100034,0.93944,,,,,,,,,,
0,57288,,0.162203,,,,,,,,,
1,85868,,0.102861,,,,,,,,,
2,114454,,0.0976872,,,,,,,,,
3,143036,,0.0976872,,,,,,,,,
4,171616,,0.0973828,,,,,,,,,
5,200200,,0.0973828,,,,,,,,,
0,88168,,,0.0973828,,,,,,,,
1,77052,,,0.265368,,,,,,,,
2,57189,,,0.542605,,,,,,,,
3,48384,,,0.658247,,,,,,,,
4,34968,,,0.783932,,,,,,,,
5,26697,,,0.846318,,,,,,,,
6,24453,,,0.860925,,,,,,,,
7,22602,,,0.86762,,,,,,,,
8,22433,,,0.869446,,,,,,,,
9,22425,,,0.869446,,,,,,,,
10,22425,,,0.869446,,,,,,,,
0,22425,,,,0.869446,,,,,,,
1,22425,,,,0.869446,,,,,,,
2,23130,,,,0.856969,,,,,,,
3,24896,,,,0.828971,,,,,,,
4,27856,,,,0.786062,,,,,,,
5,32779,,,,0.716677,,,,,,,
6,39166,,,,0.627206,,,,,,,
7,46956,,,,0.530736,,,,,,,
8,56246,,,,0.420876,,,,,,,
9,65820,,,,0.321668,,,,,,,
10,74756,,,,0.227024,,,,,,,
11,81509,,,,0.160682,,,,,,,
12,86168,,,,0.115642,,,,,,,
13,88020,,,,0.0986001,,,,,,,
14,88168,,,,0.0973828,,,,,,,
0,46866,,,,,0.944309,,,,,,
1,44036,,,,,0.944005,,,,,,
2,42338,,,,,0.944309,,,,,,
3,41206,,,,,0.945831,,,,,,
4,40398,,,,,0.946439,,,,,,
5,39791,,,,,0.955265,,,,,,
0,46866,,,,,,0.944309,,,,,
1,44036,,,,,,0.944005,,,,,
2,42338,,,,,,0.944309,,,,,
3,41206,,,,,,0.945831,,,,,
4,40398,,,,,,0.946439,,,,,
5,39791,,,,,,0.955265,,,,,
0,22819,,,,,,,,,0.860316,,
1,23963,,,,,,,,,0.860316,,
2,25091,,,,,,,,,0.860316,,
3,26227,,,,,,,,,0.783628,,
4,27355,,,,,,,,,0.783628,,
5,28483,,,,,,,,,0.7465,,
6,29619,,,,,,,,,0.709677,,
7,30747,,,,,,,,,0.693244,,
8,31875,,,,,,,,,0.679245,,
0,22819,,,,,,,,,,0.860316,
0,88136,,,,,,,,,,,0.0973828
