,Memory usage,RangeBF,LilRosetta p=0.8,Splash Rel. cut-off=0.8,Splash Abs. cut-off=0.8,Layered CHaREQ h=14 b=3,Layered CHaREQ h=14 b=4,Layered CHaREQ h=14 b=5,Layered CHaREQ h=14 b=6,SuRF Real,SuRF Base,FST
0,12534,0.998581,,,,,,,,,,
1,25034,0.998581,,,,,,,,,,
2,37534,0.998344,,,,,,,,,,
3,50034,0.997634,,,,,,,,,,
4,62534,0.996925,,,,,,,,,,
5,75034,0.995742,,,,,,,,,,
6,87534,0.995978,,,,,,,,,,
7,100034,0.994322,,,,,,,,,,
0,54554,,0.933286,,,,,,,,,
1,81749,,0.661699,,,,,,,,,
2,108972,,0.230187,,,,,,,,,
3,136163,,0.0132482,,,,,,,,,
4,163387,,0.00212917,,,,,,,,,
5,190584,,0.000473149,,,,,,,,,
0,160643,,,0.0,,,,,,,,
1,147443,,,0.148805,,,,,,,,
2,121031,,,0.416134,,,,,,,,
3,107831,,,0.537024,,,,,,,,
4,75875,,,0.733144,,,,,,,,
5,49493,,,0.891412,,,,,,,,
6,36397,,,0.944878,,,,,,,,
7,19579,,,0.993376,,,,,,,,
8,19579,,,0.993376,,,,,,,,
9,19579,,,0.993376,,,,,,,,
10,19579,,,0.993376,,,,,,,,
0,19579,,,,0.993376,,,,,,,
1,19579,,,,0.993376,,,,,,,
2,19579,,,,0.993376,,,,,,,
3,19579,,,,0.993376,,,,,,,
4,19579,,,,0.993376,,,,,,,
5,19579,,,,0.993376,,,,,,,
6,19579,,,,0.993376,,,,,,,
7,19591,,,,0.993139,,,,,,,
8,19681,,,,0.99243,,,,,,,
9,20409,,,,0.984623,,,,,,,
10,30057,,,,0.910102,,,,,,,
11,107921,,,,0.376153,,,,,,,
12,160643,,,,0.0,,,,,,,
13,160643,,,,0.0,,,,,,,
14,160643,,,,0.0,,,,,,,
0,75493,,,,,0.99172,,,,,,
1,72369,,,,,0.991483,,,,,,
2,70494,,,,,0.992193,,,,,,
3,69243,,,,,0.991956,,,,,,
4,68350,,,,,0.992193,,,,,,
5,67681,,,,,0.992666,,,,,,
0,75493,,,,,,0.99172,,,,,
1,72369,,,,,,0.991483,,,,,
2,70494,,,,,,0.992193,,,,,
3,69243,,,,,,0.991956,,,,,
4,68350,,,,,,0.992193,,,,,
5,67681,,,,,,0.992666,,,,,
0,19531,,,,,,,,,0.993376,,
1,20787,,,,,,,,,0.993376,,
2,22035,,,,,,,,,0.993376,,
3,23283,,,,,,,,,0.993376,,
4,24531,,,,,,,,,0.993376,,
5,25787,,,,,,,,,0.980364,,
6,27035,,,,,,,,,0.96688,,
7,28283,,,,,,,,,0.960492,,
8,29531,,,,,,,,,0.95789,,
0,19531,,,,,,,,,,0.993376,
0,160611,,,,,,,,,,,0.0
