,Memory usage,RangeBF,LilRosetta p=0.8,Splash Rel. cut-off=0.8,Splash Abs. cut-off=0.8,Layered CHaREQ h=14 b=3,Layered CHaREQ h=14 b=4,Layered CHaREQ h=14 b=5,Layered CHaREQ h=14 b=6,SuRF Real,SuRF Base,FST
0,12534,0.201068,,,,,,,,,,
1,25034,0.0707162,,,,,,,,,,
2,37534,0.043014,,,,,,,,,,
3,50034,0.0281052,,,,,,,,,,
4,62534,0.0188375,,,,,,,,,,
0,57288,,0.0330412,,,,,,,,,
1,85868,,0.00382794,,,,,,,,,
2,114454,,0.000201471,,,,,,,,,
3,143036,,0.0,,,,,,,,,
4,171616,,0.0,,,,,,,,,
5,200200,,0.0,,,,,,,,,
0,88168,,,0.0,,,,,,,,
1,77052,,,0.0,,,,,,,,
2,57189,,,0.0,,,,,,,,
3,48384,,,0.0,,,,,,,,
4,34968,,,0.0,,,,,,,,
5,26697,,,0.000201471,,,,,,,,
6,24453,,,0.00120882,,,,,,,,
7,22602,,,0.0512743,,,,,,,,
8,22433,,,0.165206,,,,,,,,
9,22425,,,0.233202,,,,,,,,
10,22425,,,0.233202,,,,,,,,
0,22425,,,,0.233202,,,,,,,
1,22425,,,,0.233202,,,,,,,
2,23130,,,,0.233202,,,,,,,
3,24896,,,,0.233202,,,,,,,
4,27856,,,,0.233202,,,,,,,
5,32779,,,,0.233202,,,,,,,
6,39166,,,,0.233202,,,,,,,
7,46956,,,,0.233202,,,,,,,
8,56246,,,,0.233202,,,,,,,
9,65820,,,,0.233202,,,,,,,
10,74756,,,,0.232497,,,,,,,
11,81509,,,,0.22746,,,,,,,
12,86168,,,,0.194319,,,,,,,
13,88020,,,,0.0764581,,,,,,,
14,88168,,,,0.0,,,,,,,
0,46866,,,,,0.224942,,,,,,
1,44036,,,,,0.224942,,,,,,
2,42338,,,,,0.224942,,,,,,
3,41206,,,,,0.224942,,,,,,
4,40398,,,,,0.224942,,,,,,
5,39791,,,,,0.224942,,,,,,
0,46866,,,,,,0.224942,,,,,
1,44036,,,,,,0.224942,,,,,
2,42338,,,,,,0.224942,,,,,
3,41206,,,,,,0.224942,,,,,
4,40398,,,,,,0.224942,,,,,
5,39791,,,,,,0.224942,,,,,
0,22819,,,,,,,,,0.233202,,
1,23963,,,,,,,,,0.233202,,
2,25091,,,,,,,,,0.233202,,
3,26227,,,,,,,,,0.233202,,
4,27355,,,,,,,,,0.233202,,
5,28483,,,,,,,,,0.170041,,
6,29619,,,,,,,,,0.0870354,,
7,30747,,,,,,,,,0.0472449,,
8,31875,,,,,,,,,0.0245794,,
0,22819,,,,,,,,,,0.233202,
0,88136,,,,,,,,,,,0.0
