,Memory usage,RangeBF,Splash,SuRF Real,FST
0,62534,0.315786,,,
1,125034,0.0317516,,,
2,187534,0.00624031,,,
3,250034,0.00221011,,,
4,312534,0.00100005,,,
5,375034,0.000500025,,,
6,437534,0.000330017,,,
7,500034,0.000230012,,,
8,562534,0.000160008,,,
9,625034,0.000150008,,,
0,1413964,,0.0,,
1,1413627,,0.0,,
2,1283626,,0.0,,
3,1189109,,1.00005e-05,,
4,1082610,,9.00045e-05,,
5,985364,,0.000100005,,
6,905412,,0.000410021,,
7,820321,,0.000540027,,
8,729735,,0.00110006,,
9,621830,,0.00296015,,
10,492538,,0.00781039,,
11,429583,,0.0163708,,
12,328322,,0.0342217,,
13,228006,,0.0890145,,
14,181826,,0.154478,,
15,164125,,0.19068,,
16,164013,,0.19357,,
17,164013,,0.19357,,
18,164013,,0.19357,,
19,164013,,0.19357,,
0,164036,,,0.19348,
0,1413933,,,,1.00005e-05
