,Memory usage,RangeBF,Splash,SuRF Real,FST
0,62534,0.973861,,,
1,125034,0.875866,,,
2,187534,0.759447,,,
3,250034,0.631709,,,
4,312534,0.516318,,,
5,375034,0.421342,,,
6,437534,0.349258,,,
7,500034,0.294544,,,
8,562534,0.252443,,,
9,625034,0.227281,,,
0,870258,,0.0,,
1,869923,,0.000266464,,
2,743416,,0.179711,,
3,626149,,0.296168,,
4,530490,,0.409758,,
5,449530,,0.498655,,
6,387994,,0.559561,,
7,333867,,0.611331,,
8,285696,,0.652671,,
9,244510,,0.686068,,
10,222377,,0.702855,,
11,216969,,0.706484,,
12,211889,,0.709897,,
13,210517,,0.710823,,
14,210133,,0.711141,,
15,209948,,0.711204,,
16,209601,,0.711255,,
17,209465,,0.711255,,
18,209329,,0.711268,,
19,209329,,0.711268,,
0,220490,,,0.695191,
0,871428,,,,0.0032737
