,Memory usage,RangeBF,LilRosetta p=0.8,Splash Rel. cut-off=0.8,Splash Abs. cut-off=0.8,SuRF Real,Layered CHaREQ h=14 b=3,Layered CHaREQ h=13 b=1,Layered CHaREQ h=13 b=2,SuRF Base,FST
0,12534,0.940669,,,,,,,,,
1,25034,0.723555,,,,,,,,,
2,37534,0.483749,,,,,,,,,
3,50034,0.339322,,,,,,,,,
4,62534,0.264744,,,,,,,,,
5,75034,0.234369,,,,,,,,,
6,87534,0.219832,,,,,,,,,
7,100034,0.210613,,,,,,,,,
0,57798,,0.0853327,,,,,,,,
1,86633,,0.00980972,,,,,,,,
2,115451,,0.0022456,,,,,,,,
3,144284,,0.000354568,,,,,,,,
4,173109,,0.0,,,,,,,,
5,201947,,0.0,,,,,,,,
0,75137,,,0.0,,,,,,,
1,73507,,,0.132372,,,,,,,
2,70231,,,0.132372,,,,,,,
3,51960,,,0.521688,,,,,,,
4,47853,,,0.521688,,,,,,,
5,25618,,,0.847063,,,,,,,
6,19108,,,0.847063,,,,,,,
7,18098,,,0.847063,,,,,,,
8,17425,,,0.853091,,,,,,,
9,17414,,,0.853091,,,,,,,
10,17414,,,0.853091,,,,,,,
0,17414,,,,0.853091,,,,,,
1,17414,,,,0.853091,,,,,,
2,17414,,,,0.853091,,,,,,
3,17414,,,,0.853091,,,,,,
4,17414,,,,0.853091,,,,,,
5,17460,,,,0.851554,,,,,,
6,17612,,,,0.848481,,,,,,
7,18365,,,,0.833353,,,,,,
8,20529,,,,0.796005,,,,,,
9,30242,,,,0.629004,,,,,,
10,47048,,,,0.372178,,,,,,
11,62361,,,,0.16121,,,,,,
12,71014,,,,0.0512942,,,,,,
13,74103,,,,0.0134736,,,,,,
14,74991,,,,0.00153646,,,,,,
0,59979,,,,,0.132372,,,,,
0,97152,,,,,,1.0,,,,
1,69594,,,,,,1.0,,,,
2,60407,,,,,,1.0,,,,
3,55814,,,,,,1.0,,,,
4,53058,,,,,,1.0,,,,
0,120788,,,,,,,1.0,,,
1,84421,,,,,,,1.0,,,
2,72298,,,,,,,1.0,,,
3,66237,,,,,,,1.0,,,
4,62600,,,,,,,1.0,,,
0,116162,,,,,,,,1.0,,
1,79795,,,,,,,,1.0,,
2,67672,,,,,,,,1.0,,
3,61611,,,,,,,,1.0,,
4,57974,,,,,,,,1.0,,
0,59979,,,,,0.132372,,,,,
1,61243,,,,,0.132372,,,,,
2,62491,,,,,0.132372,,,,,
3,63739,,,,,0.132372,,,,,
4,64987,,,,,0.132372,,,,,
5,66243,,,,,0.132372,,,,,
6,67491,,,,,0.132372,,,,,
7,68739,,,,,0.132372,,,,,
8,69987,,,,,0.132372,,,,,
0,59979,,,,,,,,,0.132372,
0,75105,,,,,,,,,,0.0
