,Memory usage,RangeBF,LilRosetta p=0.8,Splash Rel. cut-off=0.8,Splash Abs. cut-off=0.8,SuRF Real,Layered CHaREQ h=14 b=3,Layered CHaREQ h=13 b=1,Layered CHaREQ h=13 b=2,SuRF Base,FST
0,12534,0.0740891,,,,,,,,,
1,25034,0.0289474,,,,,,,,,
2,37534,0.0194332,,,,,,,,,
3,50034,0.0129555,,,,,,,,,
4,62534,0.0110324,,,,,,,,,
5,75034,0.0082996,,,,,,,,,
6,87534,0.00607287,,,,,,,,,
7,100034,0.00526316,,,,,,,,,
0,52738,,0.977429,,,,,,,,
1,79008,,0.893522,,,,,,,,
2,105272,,0.733806,,,,,,,,
3,131540,,0.439777,,,,,,,,
4,157808,,0.170749,,,,,,,,
5,184072,,0.0439271,,,,,,,,
0,121843,,,0.00536437,,,,,,,
1,108939,,,0.012247,,,,,,,
2,84171,,,0.0361336,,,,,,,
3,72446,,,0.0576923,,,,,,,
4,51700,,,0.115182,,,,,,,
5,35663,,,0.192814,,,,,,,
6,30063,,,0.240789,,,,,,,
7,24003,,,0.314069,,,,,,,
8,23051,,,0.331275,,,,,,,
9,22842,,,0.339069,,,,,,,
10,22842,,,0.339069,,,,,,,
0,22842,,,,0.339069,,,,,,
1,22842,,,,0.339069,,,,,,
2,23157,,,,0.337045,,,,,,
3,23929,,,,0.331579,,,,,,
4,25678,,,,0.321862,,,,,,
5,28816,,,,0.308401,,,,,,
6,33407,,,,0.288158,,,,,,
7,40655,,,,0.261741,,,,,,
8,50549,,,,0.227227,,,,,,
9,64153,,,,0.184514,,,,,,
10,80007,,,,0.139372,,,,,,
11,96413,,,,0.0936235,,,,,,
12,110106,,,,0.0516194,,,,,,
13,119290,,,,0.0176113,,,,,,
14,121843,,,,0.00536437,,,,,,
0,23178,,,,,0.335729,,,,,
0,107892,,,,,,0.0203441,,,,
1,89009,,,,,,0.020749,,,,
2,82715,,,,,,0.0231781,,,,
3,79567,,,,,,0.0239879,,,,
4,77679,,,,,,0.0244939,,,,
0,156118,,,,,,,0.0186235,,,
1,118862,,,,,,,0.0204453,,,
2,106443,,,,,,,0.0219636,,,
3,100233,,,,,,,0.0237854,,,
4,96508,,,,,,,0.023583,,,
0,147203,,,,,,,,0.0194332,,
1,109947,,,,,,,,0.0213563,,
2,97528,,,,,,,,0.0227733,,
3,91318,,,,,,,,0.0252024,,
4,87593,,,,,,,,0.0252024,,
0,23178,,,,,0.335729,,,,,
1,24434,,,,,0.335729,,,,,
2,25682,,,,,0.334211,,,,,
3,26930,,,,,0.334211,,,,,
4,28186,,,,,0.242004,,,,,
5,29434,,,,,0.196964,,,,,
6,30682,,,,,0.173684,,,,,
7,31938,,,,,0.161235,,,,,
8,33186,,,,,0.154049,,,,,
0,23178,,,,,,,,,0.335729,
0,121899,,,,,,,,,,0.00587045
