,Memory usage,RangeBF,LilRosetta p=0.8,Splash Rel. cut-off=0.8,Splash Abs. cut-off=0.8,SuRF Real,Layered CHaREQ h=14 b=3,Layered CHaREQ h=13 b=1,Layered CHaREQ h=13 b=2,SuRF Base,FST
0,12534,0.0694,,,,,,,,,
1,25034,0.007,,,,,,,,,
2,37534,0.0019,,,,,,,,,
3,50034,0.0004,,,,,,,,,
4,62534,0.0001,,,,,,,,,
5,75034,0.0001,,,,,,,,,
6,87534,0.0001,,,,,,,,,
7,100034,0.0,,,,,,,,,
0,54538,,0.8363,,,,,,,,
1,81727,,0.3272,,,,,,,,
2,108926,,0.0155,,,,,,,,
3,136115,,0.0049,,,,,,,,
4,163309,,0.0011,,,,,,,,
5,190504,,0.0008,,,,,,,,
0,127602,,,0.0,,,,,,,
1,114404,,,0.0,,,,,,,
2,88036,,,0.0,,,,,,,
3,71561,,,0.0,,,,,,,
4,46352,,,0.0,,,,,,,
5,28428,,,0.0,,,,,,,
6,24620,,,0.0,,,,,,,
7,22855,,,0.0005,,,,,,,
8,22778,,,0.0037,,,,,,,
9,22772,,,0.0108,,,,,,,
10,22772,,,0.0108,,,,,,,
0,22772,,,,0.0108,,,,,,
1,22772,,,,0.0108,,,,,,
2,22774,,,,0.0108,,,,,,
3,22814,,,,0.0108,,,,,,
4,23008,,,,0.0108,,,,,,
5,23768,,,,0.0108,,,,,,
6,26999,,,,0.0108,,,,,,
7,37225,,,,0.0108,,,,,,
8,59902,,,,0.0108,,,,,,
9,91034,,,,0.0108,,,,,,
10,112756,,,,0.0108,,,,,,
11,123150,,,,0.0108,,,,,,
12,126298,,,,0.0103,,,,,,
13,127102,,,,0.0075,,,,,,
14,127602,,,,0.0,,,,,,
0,22765,,,,,0.0108,,,,,
0,109517,,,,,,0.0015,,,,
1,90767,,,,,,0.0015,,,,
2,84516,,,,,,0.0015,,,,
3,81392,,,,,,0.0015,,,,
4,79517,,,,,,0.0015,,,,
0,158878,,,,,,,0.0002,,,
1,121380,,,,,,,0.0002,,,
2,108881,,,,,,,0.0002,,,
3,102631,,,,,,,0.0002,,,
4,98881,,,,,,,0.0002,,,
0,149678,,,,,,,,0.0005,,
1,112180,,,,,,,,0.0005,,
2,99681,,,,,,,,0.0005,,
3,93431,,,,,,,,0.0005,,
4,89681,,,,,,,,0.0005,,
0,22765,,,,,0.0108,,,,,
1,24029,,,,,0.0108,,,,,
2,25277,,,,,0.0108,,,,,
3,26525,,,,,0.0108,,,,,
4,27773,,,,,0.0056,,,,,
5,29021,,,,,0.0035,,,,,
6,30269,,,,,0.0014,,,,,
7,31525,,,,,0.0008,,,,,
8,32773,,,,,0.0004,,,,,
0,22765,,,,,,,,,0.0108,
0,127570,,,,,,,,,,0.0
