,Memory usage,RangeBF,LilRosetta p=0.8,Splash Rel. cut-off=0.8,Splash Abs. cut-off=0.8,SuRF Real,Layered CHaREQ h=14 b=2,Layered CHaREQ h=14 b=3,Layered CHaREQ h=14 b=4,SuRF Base,FST
0,12534,0.996976,,,,,,,,,
1,25034,0.9509,,,,,,,,,
2,37534,0.82707,,,,,,,,,
3,50034,0.679914,,,,,,,,,
4,62534,0.530886,,,,,,,,,
5,75034,0.442189,,,,,,,,,
6,87534,0.368035,,,,,,,,,
7,100034,0.331461,,,,,,,,,
0,52728,,0.986033,,,,,,,,
1,78997,,0.927718,,,,,,,,
2,105258,,0.777682,,,,,,,,
3,131524,,0.450252,,,,,,,,
4,157785,,0.108279,,,,,,,,
5,184046,,0.025342,,,,,,,,
0,122563,,,0.0,,,,,,,
1,109636,,,0.152772,,,,,,,
2,84615,,,0.435277,,,,,,,
3,72754,,,0.5473,,,,,,,
4,51612,,,0.718503,,,,,,,
5,35315,,,0.828942,,,,,,,
6,29663,,,0.861771,,,,,,,
7,23565,,,0.882793,,,,,,,
8,22592,,,0.885241,,,,,,,
9,22390,,,0.885673,,,,,,,
10,22390,,,0.885673,,,,,,,
0,22390,,,,0.885673,,,,,,
1,22390,,,,0.885673,,,,,,
2,22627,,,,0.882793,,,,,,
3,23269,,,,0.875882,,,,,,
4,24939,,,,0.855436,,,,,,
5,27895,,,,0.822318,,,,,,
6,32676,,,,0.772642,,,,,,
7,40165,,,,0.694024,,,,,,
8,50532,,,,0.592513,,,,,,
9,64470,,,,0.462923,,,,,,
10,80272,,,,0.32167,,,,,,
11,97042,,,,0.184737,,,,,,
12,110753,,,,0.0816415,,,,,,
13,119849,,,,0.0179986,,,,,,
14,122563,,,,0.0,,,,,,
0,22751,,,,,0.881929,,,,,
0,83634,,,,,,0.495608,,,,
1,80488,,,,,,0.49892,,,,
2,78601,,,,,,0.504248,,,,
3,77342,,,,,,0.50324,,,,
4,76443,,,,,,0.510871,,,,
5,75769,,,,,,0.510583,,,,
0,73424,,,,,,,0.599136,,,
1,70278,,,,,,,0.602448,,,
2,68391,,,,,,,0.607775,,,
3,67132,,,,,,,0.606767,,,
4,66233,,,,,,,0.614399,,,
5,65559,,,,,,,0.614111,,,
0,63215,,,,,,,,0.70612,,
1,60069,,,,,,,,0.709431,,
2,58182,,,,,,,,0.714759,,
3,56923,,,,,,,,0.713751,,
4,56024,,,,,,,,0.721382,,
5,55350,,,,,,,,0.721094,,
0,22751,,,,,0.881929,,,,,
1,24007,,,,,0.881929,,,,,
2,25255,,,,,0.87617,,,,,
3,26511,,,,,0.87617,,,,,
4,27759,,,,,0.834701,,,,,
5,29007,,,,,0.818287,,,,,
6,30255,,,,,0.806335,,,,,
7,31511,,,,,0.798272,,,,,
8,32759,,,,,0.795536,,,,,
0,22751,,,,,,,,,0.881929,
0,122636,,,,,,,,,,0.000719942
