,Memory usage,RangeBF,LilRosetta p=0.8,Splash Rel. cut-off=0.8,Splash Abs. cut-off=0.8,SuRF Real,Layered CHaREQ h=14 b=2,Layered CHaREQ h=14 b=3,Layered CHaREQ h=14 b=4,SuRF Base,FST
0,12534,0.973819,,,,,,,,,
1,25034,0.790422,,,,,,,,,
2,37534,0.560058,,,,,,,,,
3,50034,0.404289,,,,,,,,,
4,62534,0.328115,,,,,,,,,
5,75034,0.291277,,,,,,,,,
6,87534,0.276148,,,,,,,,,
7,100034,0.270359,,,,,,,,,
0,57852,,0.232864,,,,,,,,
1,86727,,0.00736745,,,,,,,,
2,115571,,0.00131562,,,,,,,,
3,144434,,0.000263123,,,,,,,,
4,173290,,0.0,,,,,,,,
5,202151,,0.0,,,,,,,,
0,74650,,,0.0,,,,,,,
1,73025,,,0.0177608,,,,,,,
2,69791,,,0.0495987,,,,,,,
3,51929,,,0.291541,,,,,,,
4,47892,,,0.335745,,,,,,,
5,25564,,,0.692409,,,,,,,
6,19217,,,0.753717,,,,,,,
7,18215,,,0.76161,,,,,,,
8,17570,,,0.770293,,,,,,,
9,17549,,,0.770688,,,,,,,
10,17549,,,0.770688,,,,,,,
0,17549,,,,0.770688,,,,,,
1,17549,,,,0.770688,,,,,,
2,17549,,,,0.770688,,,,,,
3,17549,,,,0.770688,,,,,,
4,17552,,,,0.770688,,,,,,
5,17597,,,,0.770425,,,,,,
6,17779,,,,0.768583,,,,,,
7,18348,,,,0.760953,,,,,,
8,20823,,,,0.732798,,,,,,
9,30542,,,,0.594395,,,,,,
10,47559,,,,0.357058,,,,,,
11,62007,,,,0.165505,,,,,,
12,70681,,,,0.0539403,,,,,,
13,73957,,,,0.00868307,,,,,,
14,74553,,,,0.00144718,,,,,,
0,59721,,,,,0.110117,,,,,
0,60332,,,,,,0.463623,,,,
1,55748,,,,,,0.465728,,,,
2,52997,,,,,,0.467833,,,,
3,51162,,,,,,0.469543,,,,
4,49852,,,,,,0.470596,,,,
5,48870,,,,,,0.474806,,,,
0,55162,,,,,,,0.553611,,,
1,50578,,,,,,,0.555716,,,
2,47827,,,,,,,0.557821,,,
3,45992,,,,,,,0.559532,,,
4,44682,,,,,,,0.560584,,,
5,43700,,,,,,,0.564794,,,
0,49992,,,,,,,,0.646362,,
1,45408,,,,,,,,0.648467,,
2,42657,,,,,,,,0.650572,,
3,40822,,,,,,,,0.652283,,
4,39512,,,,,,,,0.653335,,
5,38530,,,,,,,,0.657545,,
0,59721,,,,,0.110117,,,,,
1,60977,,,,,0.110117,,,,,
2,62225,,,,,0.109591,,,,,
3,63473,,,,,0.109591,,,,,
4,64721,,,,,0.105644,,,,,
5,65977,,,,,0.103934,,,,,
6,67225,,,,,0.102092,,,,,
7,68473,,,,,0.101697,,,,,
8,69721,,,,,0.101039,,,,,
0,59721,,,,,,,,,0.110117,
0,74618,,,,,,,,,,0.0
