,Memory usage,RangeBF,LilRosetta p=0.8,Splash Rel. cut-off=0.8,Splash Abs. cut-off=0.8,SuRF Real,Layered CHaREQ h=14 b=2,Layered CHaREQ h=14 b=3,Layered CHaREQ h=14 b=4,SuRF Base,FST
0,12534,0.996839,,,,,,,,,
1,25034,0.955888,,,,,,,,,
2,37534,0.84238,,,,,,,,,
3,50034,0.699052,,,,,,,,,
4,62534,0.554762,,,,,,,,,
5,75034,0.462553,,,,,,,,,
6,87534,0.395355,,,,,,,,,
7,100034,0.344785,,,,,,,,,
0,54528,,0.817782,,,,,,,,
1,81712,,0.371032,,,,,,,,
2,108909,,0.0450735,,,,,,,,
3,136097,,0.00893225,,,,,,,,
4,163284,,0.00206129,,,,,,,,
5,190478,,0.000412258,,,,,,,,
0,127773,,,0.0,,,,,,,
1,114573,,,0.156108,,,,,,,
2,88209,,,0.426687,,,,,,,
3,71781,,,0.549265,,,,,,,
4,46570,,,0.748935,,,,,,,
5,28602,,,0.855298,,,,,,,
6,24771,,,0.872338,,,,,,,
7,23000,,,0.880583,,,,,,,
8,22928,,,0.880995,,,,,,,
9,22922,,,0.880995,,,,,,,
10,22922,,,0.880995,,,,,,,
0,22922,,,,0.880995,,,,,,
1,22922,,,,0.880995,,,,,,
2,22932,,,,0.88072,,,,,,
3,22972,,,,0.880583,,,,,,
4,23142,,,,0.878796,,,,,,
5,23926,,,,0.870826,,,,,,
6,27071,,,,0.840594,,,,,,
7,37199,,,,0.745362,,,,,,
8,59873,,,,0.534698,,,,,,
9,91023,,,,0.293115,,,,,,
10,112642,,,,0.112821,,,,,,
11,123536,,,,0.0278961,,,,,,
12,126537,,,,0.00604645,,,,,,
13,127269,,,,0.000549677,,,,,,
14,127773,,,,0.0,,,,,,
0,22874,,,,,0.880995,,,,,
0,85149,,,,,,0.511612,,,,
1,82025,,,,,,0.516696,,,,
2,80150,,,,,,0.520682,,,,
3,78899,,,,,,0.520956,,,,
4,78006,,,,,,0.523293,,,,
5,77337,,,,,,0.525629,,,,
0,74677,,,,,,,0.608218,,,
1,71553,,,,,,,0.613302,,,
2,69678,,,,,,,0.617287,,,
3,68427,,,,,,,0.617562,,,
4,67534,,,,,,,0.619898,,,
5,66865,,,,,,,0.622234,,,
0,64206,,,,,,,,0.714168,,
1,61082,,,,,,,,0.719252,,
2,59207,,,,,,,,0.723238,,
3,57956,,,,,,,,0.723512,,
4,57063,,,,,,,,0.725849,,
5,56394,,,,,,,,0.728185,,
0,22874,,,,,0.880995,,,,,
1,24138,,,,,0.880995,,,,,
2,25386,,,,,0.875086,,,,,
3,26634,,,,,0.875086,,,,,
4,27882,,,,,0.835372,,,,,
5,29130,,,,,0.818194,,,,,
6,30378,,,,,0.809674,,,,,
7,31634,,,,,0.803078,,,,,
8,32882,,,,,0.800467,,,,,
0,22874,,,,,,,,,0.880995,
0,127741,,,,,,,,,,0.0
