,Memory usage,RangeBF,RangeBF-KR,Splash,SuRF Real,FST
0,62534,0.996044,,,,
1,125034,0.956543,,,,
2,187534,0.894807,,,,
3,250034,0.831778,,,,
4,312534,0.748682,,,,
5,375034,0.664894,,,,
6,437534,0.589791,,,,
7,500034,0.519128,,,,
8,562534,0.451728,,,,
9,625034,0.39923,,,,
0,62534,,0.999954,,,
1,125034,,0.999954,,,
2,187534,,0.999954,,,
3,250034,,0.999954,,,
4,312534,,0.999954,,,
5,375034,,0.999954,,,
6,437534,,0.999954,,,
7,500034,,0.999954,,,
8,562534,,0.999954,,,
9,625034,,0.999954,,,
0,1413964,,,0.0,,
1,1413627,,,0.000288327,,
2,1283626,,,0.164843,,
3,1189109,,,0.267568,,
4,1082610,,,0.381561,,
5,985364,,,0.477043,,
6,905412,,,0.550452,,
7,820321,,,0.623583,,
8,729735,,,0.693658,,
9,621830,,,0.767781,,
10,492538,,,0.846448,,
11,429583,,,0.87941,,
12,328322,,,0.924643,,
13,228006,,,0.953464,,
14,181826,,,0.968722,,
15,164125,,,0.972978,,
16,164013,,,0.972978,,
17,164013,,,0.972978,,
18,164013,,,0.972978,,
19,164013,,,0.972978,,
0,164036,,,,0.97292,
0,1413933,,,,,0.0
