,Memory usage,RangeBF,RangeBF-KR,Splash,SuRF Real,FST
0,62534,0.17137,,,,
1,125034,0.0215413,,,,
2,187534,0.00433026,,,,
3,250034,0.00138008,,,,
4,312534,0.000510031,,,,
5,375034,0.000270016,,,,
6,437534,0.000180011,,,,
7,500034,0.000130008,,,,
8,562534,0.000130008,,,,
9,625034,9.00054e-05,,,,
0,62534,,0.223403,,,
1,125034,,0.0319919,,,
2,187534,,0.0099906,,,
3,250034,,0.00449027,,,
4,312534,,0.00149009,,,
5,375034,,0.000950057,,,
6,437534,,0.000630038,,,
7,500034,,0.000470028,,,
8,562534,,0.000390023,,,
9,625034,,0.000430026,,,
0,870258,,,0.0,,
1,869923,,,0.0,,
2,743416,,,0.0,,
3,626149,,,0.0,,
4,530490,,,0.0,,
5,449530,,,0.0,,
6,387994,,,0.0,,
7,333867,,,0.0,,
8,285696,,,1.00006e-05,,
9,244510,,,2.00012e-05,,
10,222377,,,5.0003e-05,,
11,216969,,,0.000110007,,
12,211889,,,0.000360022,,
13,210517,,,0.000700042,,
14,210133,,,0.00184011,,
15,209948,,,0.00520031,,
16,209601,,,0.0131408,,
17,209465,,,0.0158109,,
18,209329,,,0.0903054,,
19,209329,,,0.0903054,,
0,220490,,,,0.0903154,
0,871428,,,,,0.0
