,Memory usage,RangeBF,RangeBF-KR,Splash,SuRF Real,FST
0,62534,0.683549,,,,
1,125034,0.295617,,,,
2,187534,0.153785,,,,
3,250034,0.0934065,,,,
4,312534,0.0563342,,,,
5,375034,0.0350299,,,,
6,437534,0.0232065,,,,
7,500034,0.0167791,,,,
8,562534,0.0119636,,,,
9,625034,0.00977114,,,,
0,62534,,0.742526,,,
1,125034,,0.359009,,,
2,187534,,0.194682,,,
3,250034,,0.14925,,,
4,312534,,0.0901428,,,
5,375034,,0.0615402,,,
6,437534,,0.0453417,,,
7,500034,,0.042098,,,
8,562534,,0.0295437,,,
9,625034,,0.024578,,,
0,1413964,,,1.00114e-05,,
1,1413627,,,1.00114e-05,,
2,1283626,,,1.00114e-05,,
3,1189109,,,3.00342e-05,,
4,1082610,,,0.000110126,,
5,985364,,,0.000180205,,
6,905412,,,0.000370422,,
7,820321,,,0.000500571,,
8,729735,,,0.00130148,,
9,621830,,,0.00328374,,
10,492538,,,0.00840959,,
11,429583,,,0.0168192,,
12,328322,,,0.0353703,,
13,228006,,,0.0915844,,
14,181826,,,0.155417,,
15,164125,,,0.19283,,
16,164013,,,0.195633,,
17,164013,,,0.195633,,
18,164013,,,0.195633,,
19,164013,,,0.195633,,
0,164036,,,,0.195543,
0,1413933,,,,,1.00114e-05
