,Memory usage,RangeBF,RangeBF-KR,Splash,SuRF Real,FST
0,62534,0.303212,,,,
1,125034,0.0700319,,,,
2,187534,0.023584,,,,
3,250034,0.00902153,,,,
4,312534,0.00423072,,,,
5,375034,0.00219037,,,,
6,437534,0.00133023,,,,
7,500034,0.000950162,,,,
8,562534,0.000660112,,,,
9,625034,0.000600102,,,,
0,62534,,0.386386,,,
1,125034,,0.105848,,,
2,187534,,0.0445776,,,
3,250034,,0.0203535,,,
4,312534,,0.0112819,,,
5,375034,,0.00666113,,,
6,437534,,0.00501085,,,
7,500034,,0.00376064,,,
8,562534,,0.0029305,,,
9,625034,,0.00278047,,,
0,901833,,,0.0,,
1,900946,,,0.0,,
2,782258,,,0.0,,
3,695147,,,0.0,,
4,608341,,,6.00102e-05,,
5,535576,,,6.00102e-05,,
6,480429,,,8.00136e-05,,
7,428369,,,8.00136e-05,,
8,377933,,,0.000160027,,
9,326946,,,0.000570097,,
10,284515,,,0.00140024,,
11,229081,,,0.00208035,,
12,208388,,,0.00683116,,
13,198301,,,0.0158527,,
14,193546,,,0.0453677,,
15,190697,,,0.111039,,
16,190278,,,0.155576,,
17,190264,,,0.1741,,
18,190264,,,0.1741,,
19,190264,,,0.1741,,
0,211432,,,,0.170179,
0,905622,,,,,0.0
