,Memory usage,RangeBF,RangeBF-KR,Splash,SuRF Real,FST
0,62534,0.349736,,,,
1,125034,0.0457787,,,,
2,187534,0.0120223,,,,
3,250034,0.00504096,,,,
4,312534,0.00276052,,,,
5,375034,0.00175033,,,,
6,437534,0.00142027,,,,
7,500034,0.00113021,,,,
8,562534,0.000950181,,,,
9,625034,0.000910173,,,,
0,62534,,0.431412,,,
1,125034,,0.0619718,,,
2,187534,,0.015703,,,
3,250034,,0.00800152,,,
4,312534,,0.00372071,,,
5,375034,,0.00214041,,,
6,437534,,0.0015903,,,
7,500034,,0.00140027,,,
8,562534,,0.0010402,,,
9,625034,,0.00079015,,,
0,1414095,,,1.00019e-05,,
1,1413752,,,1.00019e-05,,
2,1283763,,,1.00019e-05,,
3,1189276,,,5.00095e-05,,
4,1082464,,,0.000100019,,
5,985338,,,0.000120023,,
6,905610,,,0.000320061,,
7,820283,,,0.000390074,,
8,729813,,,0.0010602,,
9,622089,,,0.00279053,,
10,492786,,,0.00777148,,
11,429363,,,0.0165631,,
12,328062,,,0.0339464,,
13,228032,,,0.089267,,
14,181819,,,0.154489,,
15,164216,,,0.190796,,
16,164137,,,0.192967,,
17,164137,,,0.192967,,
18,164137,,,0.192967,,
19,164137,,,0.192967,,
0,164159,,,,0.192877,
0,1414064,,,,,2.00038e-05
