,Memory usage,RangeBF,RangeBF-KR,Splash,SuRF Real,FST
0,62534,0.7497,,,,
1,125034,0.73203,,,,
2,187534,0.724255,,,,
3,250034,0.690756,,,,
4,312534,0.609814,,,,
5,375034,0.521247,,,,
6,437534,0.43675,,,,
7,500034,0.376242,,,,
8,562534,0.335204,,,,
9,625034,0.310251,,,,
0,62534,,0.760667,,,
1,125034,,0.735885,,,
2,187534,,0.730402,,,
3,250034,,0.729138,,,
4,312534,,0.728153,,,
5,375034,,0.727832,,,
6,437534,,0.727103,,,
7,500034,,0.72706,,,
8,562534,,0.726911,,,
9,625034,,0.726996,,,
0,555344,,,0.00017135,,
1,555111,,,0.00597584,,
2,538940,,,0.395069,,
3,523596,,,0.400724,,
4,442476,,,0.586318,,
5,396752,,,0.648475,,
6,369376,,,0.657214,,
7,327256,,,0.677219,,
8,262432,,,0.714745,,
9,217221,,,0.749122,,
10,192712,,,0.774567,,
11,185092,,,0.783992,,
12,177125,,,0.796115,,
13,175057,,,0.800655,,
14,174511,,,0.802626,,
15,174317,,,0.803226,,
16,174154,,,0.803654,,
17,173946,,,0.803654,,
18,173946,,,0.803654,,
19,173946,,,0.803654,,
0,454704,,,,0.430282,
0,555355,,,,,0.00087817
