,Memory usage,RangeBF,RangeBF-KR,Splash,SuRF Real,FST
0,62534,0.999723,,,,
1,125034,0.999723,,,,
2,187534,0.999723,,,,
3,250034,0.99964,,,,
4,312534,0.99928,,,,
5,375034,0.997618,,,,
6,437534,0.995485,,,,
7,500034,0.991606,,,,
8,562534,0.988393,,,,
9,625034,0.985262,,,,
0,62534,,0.999723,,,
1,125034,,0.999723,,,
2,187534,,0.999723,,,
3,250034,,0.999723,,,
4,312534,,0.999668,,,
5,375034,,0.999307,,,
6,437534,,0.998559,,,
7,500034,,0.997895,,,
8,562534,,0.996371,,,
9,625034,,0.995651,,,
0,869876,,,0.0,,
1,869545,,,0.000304726,,
2,743162,,,0.215303,,
3,625403,,,0.350158,,
4,529809,,,0.486537,,
5,449107,,,0.590254,,
6,387851,,,0.660535,,
7,333912,,,0.719264,,
8,285866,,,0.76597,,
9,244943,,,0.803479,,
10,223237,,,0.820683,,
11,217585,,,0.824035,,
12,212304,,,0.82722,,
13,210912,,,0.828107,,
14,210469,,,0.828273,,
15,210337,,,0.828412,,
16,209919,,,0.828439,,
17,209783,,,0.828439,,
18,209719,,,0.828439,,
19,209719,,,0.828439,,
0,220826,,,,0.812981,
0,871063,,,,,0.00742423
