,Memory usage,RangeBF,Range KR-BF
0,12534,1.0,
1,137534,1.0,
2,262534,1.0,
3,387534,0.999133,
4,512534,0.997505,
5,637534,0.995707,
6,762534,0.994734,
7,887534,0.99374,
0,12534,,1.0
1,137534,,1.0
2,262534,,1.0
3,387534,,0.999915
4,512534,,0.999387
5,637534,,0.998752
6,762534,,0.998372
7,887534,,0.997526
