,Memory usage,RangeBF,Range KR-BF
0,12534,1.0,
1,137534,1.0,
2,262534,0.999956,
3,387534,0.999277,
4,512534,0.997788,
5,637534,0.996145,
6,762534,0.994831,
7,887534,0.994174,
0,12534,,1.0
1,137534,,1.0
2,262534,,1.0
3,387534,,0.999912
4,512534,,0.999496
5,637534,,0.998576
6,762534,,0.997766
7,887534,,0.997438
