,Memory usage,RangeBF,Splash,SuRF Real,CHaREQ h=1,CHaREQ h=2,FST
0,12534,0.872111,,,,,
1,75034,0.126867,,,,,
2,137534,0.0756249,,,,,
3,200034,0.0608559,,,,,
4,262534,0.048296,,,,,
0,454778,,0.00630037,,,,
1,454570,,0.00630037,,,,
2,390756,,0.0219899,,,,
3,343472,,0.0274925,,,,
4,294263,,0.0565602,,,,
5,251581,,0.0965307,,,,
6,218199,,0.136051,,,,
7,187648,,0.193818,,,,
8,159585,,0.261547,,,,
9,133474,,0.360124,,,,
10,118107,,0.441047,,,,
11,114082,,0.467905,,,,
12,109956,,0.497975,,,,
13,108818,,0.507466,,,,
14,108412,,0.510985,,,,
15,108210,,0.511864,,,,
16,108067,,0.511864,,,,
17,107867,,0.511864,,,,
18,107731,,0.511864,,,,
19,107731,,0.511864,,,,
0,112583,,,0.499509,,,
0,685597,,,,0.036759,,
1,623279,,,,0.0376795,,
2,571348,,,,0.0384977,,
3,527407,,,,0.0386818,,
4,489742,,,,0.040441,,
5,457100,,,,0.0407274,,
6,428538,,,,0.0415047,,
7,403336,,,,0.0418934,,
8,380934,,,,0.043448,,
9,360891,,,,0.0445117,,
0,685715,,,,,0.036759,
1,623397,,,,,0.0376795,
2,571466,,,,,0.0384773,
3,527525,,,,,0.0386818,
4,489860,,,,,0.040441,
5,457218,,,,,0.0407274,
6,428656,,,,,0.0415047,
7,403454,,,,,0.0418934,
8,381052,,,,,0.043448,
9,361009,,,,,0.0445117,
0,455235,,,,,,0.0140531
