,Memory usage,RangeBF,Splash,SuRF Real,CHaREQ h=1,CHaREQ h=2,FST
0,12534,0.05642,,,,,
1,75034,0.0,,,,,
2,137534,0.0,,,,,
3,200034,0.0,,,,,
4,262534,0.0,,,,,
5,325034,0.0,,,,,
6,387534,0.0,,,,,
7,450034,0.0,,,,,
0,105878,,0.0,,,,
1,93786,,0.0,,,,
2,77380,,0.0,,,,
3,73868,,0.0,,,,
4,73166,,0.0,,,,
5,73072,,0.0,,,,
6,73043,,0.0,,,,
7,73038,,0.0,,,,
8,73038,,0.0,,,,
9,73038,,0.0,,,,
10,73038,,0.0,,,,
11,73038,,0.0,,,,
12,73038,,0.0,,,,
13,73038,,0.0,,,,
14,73038,,0.0,,,,
15,73038,,0.0,,,,
16,73038,,0.0,,,,
17,73038,,0.0,,,,
18,73038,,0.0,,,,
19,73038,,0.0,,,,
0,97635,,,0.0,,,
0,161566,,,,0.0,,
1,146887,,,,2e-05,,
2,134654,,,,0.0,,
3,124304,,,,0.0,,
4,115432,,,,0.0,,
5,107743,,,,2e-05,,
6,101015,,,,0.0,,
7,95079,,,,0.0,,
8,89802,,,,0.0,,
9,85081,,,,0.0,,
0,161567,,,,,0.0,
1,146888,,,,,0.0,
2,134655,,,,,0.0,
3,124305,,,,,0.0,
4,115433,,,,,0.0,
5,107744,,,,,0.0,
6,101016,,,,,0.0,
7,95080,,,,,0.0,
8,89803,,,,,0.0,
9,85082,,,,,0.0,
0,120625,,,,,,0.0
