,Memory usage,RangeBF,Splash,SuRF Real,CHaREQ h=1,CHaREQ h=2,FST
0,12534,0.999916,,,,,
1,75034,0.983629,,,,,
2,137534,0.938608,,,,,
3,200034,0.903333,,,,,
4,262534,0.88384,,,,,
5,325034,0.877046,,,,,
6,387534,0.874008,,,,,
7,450034,0.873376,,,,,
0,294013,,0.0,,,,
1,293886,,0.000295359,,,,
2,285742,,0.0348523,,,,
3,278206,,0.0521941,,,,
4,237268,,0.203671,,,,
5,213174,,0.294051,,,,
6,198824,,0.337004,,,,
7,176951,,0.411097,,,,
8,142599,,0.545907,,,,
9,114997,,0.642911,,,,
10,98929,,0.691308,,,,
11,89583,,0.709958,,,,
12,83634,,0.726709,,,,
13,81981,,0.729494,,,,
14,81549,,0.730084,,,,
15,81392,,0.730127,,,,
16,81375,,0.730211,,,,
17,81373,,0.730211,,,,
18,81309,,0.730211,,,,
19,81309,,0.730211,,,,
0,239560,,,0.115359,,,
0,442647,,,,0.521181,,
1,402416,,,,0.531392,,
2,368890,,,,0.548017,,
3,340522,,,,0.560169,,
4,316206,,,,0.572954,,
5,295133,,,,0.586076,,
6,276694,,,,0.599072,,
7,260424,,,,0.612025,,
8,245962,,,,0.627426,,
9,233022,,,,0.634937,,
0,442753,,,,,0.520717,
1,402522,,,,,0.530928,
2,368996,,,,,0.547595,
3,340628,,,,,0.559705,
4,316312,,,,,0.572489,
5,295239,,,,,0.585654,
6,276800,,,,,0.598523,
7,260530,,,,,0.611561,
8,246068,,,,,0.627004,
9,233128,,,,,0.634473,
0,294015,,,,,,0.00021097
