,Memory usage,RangeBF,Splash,SuRF Real,CHaREQ h=1,CHaREQ h=2,FST
0,12534,0.999586,,,,,
1,75034,0.991782,,,,,
2,137534,0.970797,,,,,
3,200034,0.93844,,,,,
4,262534,0.910012,,,,,
5,325034,0.88975,,,,,
6,387534,0.877242,,,,,
7,450034,0.870161,,,,,
0,454778,,0.0,,,,
1,454570,,0.00020675,,,,
2,390756,,0.209903,,,,
3,343472,,0.343774,,,,
4,294263,,0.475784,,,,
5,251581,,0.582157,,,,
6,218199,,0.65545,,,,
7,187648,,0.719491,,,,
8,159585,,0.768956,,,,
9,133474,,0.813666,,,,
10,118107,,0.836202,,,,
11,114082,,0.841888,,,,
12,109956,,0.846436,,,,
13,108818,,0.847573,,,,
14,108412,,0.847728,,,,
15,108210,,0.847832,,,,
16,108067,,0.847832,,,,
17,107867,,0.847832,,,,
18,107731,,0.847832,,,,
19,107731,,0.847832,,,,
0,112583,,,0.834186,,,
0,685597,,,,0.530883,,
1,623279,,,,0.546648,,
2,571348,,,,0.567271,,
3,527407,,,,0.579728,,
4,489742,,,,0.58531,,
5,457100,,,,0.603453,,
6,428538,,,,0.611878,,
7,403336,,,,0.62909,,
8,380934,,,,0.63369,,
9,360891,,,,0.651212,,
0,685715,,,,,0.53016,
1,623397,,,,,0.546183,
2,571466,,,,,0.566651,
3,527525,,,,,0.579056,
4,489860,,,,,0.584638,
5,457218,,,,,0.602832,
6,428656,,,,,0.611361,
7,403454,,,,,0.628366,
8,381052,,,,,0.633018,
9,361009,,,,,0.650488,
0,455235,,,,,,0.00558226
