,Memory usage,RangeBF,Splash,SuRF Real,CHaREQ h=1,CHaREQ h=2,FST
0,12534,0.99941,,,,,
1,75034,0.992872,,,,,
2,137534,0.971381,,,,,
3,200034,0.940029,,,,,
4,262534,0.909695,,,,,
5,325034,0.889115,,,,,
6,387534,0.875127,,,,,
7,450034,0.868107,,,,,
0,494677,,0.0,,,,
1,494265,,0.00107187,,,,
2,433928,,0.207031,,,,
3,389534,,0.340426,,,,
4,344651,,0.473391,,,,
5,306715,,0.573128,,,,
6,277182,,0.645479,,,,
7,211100,,0.706147,,,,
8,183780,,0.759848,,,,
9,155370,,0.811244,,,,
10,130765,,0.849617,,,,
11,121589,,0.862426,,,,
12,109111,,0.877861,,,,
13,102725,,0.884077,,,,
14,99573,,0.886221,,,,
15,97683,,0.887507,,,,
16,97338,,0.887829,,,,
17,97271,,0.887829,,,,
18,97271,,0.887829,,,,
19,97271,,0.887829,,,,
0,107131,,,0.862801,,,
0,693563,,,,0.536899,,
1,630523,,,,0.546867,,
2,577989,,,,0.561391,,
3,533538,,,,0.57688,,
4,495437,,,,0.591189,,
5,462416,,,,0.59762,,
6,433522,,,,0.611555,,
7,408028,,,,0.621255,,
8,385367,,,,0.641781,,
9,365091,,,,0.646658,,
0,694761,,,,,0.536738,
1,631721,,,,,0.546707,
2,579187,,,,,0.561284,
3,534736,,,,,0.576719,
4,496635,,,,,0.591082,
5,463614,,,,,0.597513,
6,434720,,,,,0.611448,
7,409226,,,,,0.621148,
8,386565,,,,,0.641621,
9,366289,,,,,0.646444,
0,496227,,,,,,0.0114154
