,Memory usage,RangeBF,Splash,SuRF Real,CHaREQ h=1,CHaREQ h=2,FST
0,12534,0.961712,,,,,
1,75034,0.0249855,,,,,
2,137534,0.00412091,,,,,
3,200034,0.00168037,,,,,
4,262534,0.000960211,,,,,
5,325034,0.000900198,,,,,
6,387534,0.000880194,,,,,
7,450034,0.000580128,,,,,
0,735435,,0.000100022,,,,
1,735280,,0.000100022,,,,
2,670271,,0.000100022,,,,
3,622864,,0.000100022,,,,
4,569742,,0.000120026,,,,
5,521117,,0.000140031,,,,
6,481000,,0.000340075,,,,
7,438552,,0.000400088,,,,
8,393297,,0.000640141,,,,
9,339098,,0.00196043,,,,
10,274235,,0.00542119,,,,
11,217393,,0.0100622,,,,
12,165698,,0.0258257,,,,
13,125448,,0.0655544,,,,
14,99273,,0.134049,,,,
15,87450,,0.236092,,,,
16,86820,,0.261958,,,,
17,86820,,0.261958,,,,
18,86820,,0.261958,,,,
19,86820,,0.261958,,,,
0,86779,,,0.261958,,,
0,1078115,,,,0.000460101,,
1,980115,,,,0.00050011,,
2,898449,,,,0.000460101,,
3,829347,,,,0.000540119,,
4,770117,,,,0.000540119,,
5,718784,,,,0.000580128,,
6,673867,,,,0.00050011,,
7,634235,,,,0.000640141,,
8,599007,,,,0.000580128,,
9,567487,,,,0.000640141,,
0,1079441,,,,,0.000460101,
1,981441,,,,,0.00050011,
2,899775,,,,,0.000460101,
3,830673,,,,,0.000540119,
4,771443,,,,,0.000540119,
5,720110,,,,,0.000580128,
6,675193,,,,,0.00050011,
7,635561,,,,,0.000640141,
8,600333,,,,,0.000580128,
9,568813,,,,,0.000640141,
0,735404,,,,,,0.000100022
