,Memory usage,RangeBF,Splash,SuRF Real,CHaREQ h=1,CHaREQ h=2,FST
0,12534,0.873953,,,,,
1,75034,0.725885,,,,,
2,137534,0.682523,,,,,
3,200034,0.626791,,,,,
4,262534,0.589508,,,,,
5,325034,0.57701,,,,,
6,387534,0.570378,,,,,
7,450034,0.56923,,,,,
0,294013,,0.000680185,,,,
1,293886,,0.00705692,,,,
2,285742,,0.394422,,,,
3,278206,,0.399141,,,,
4,237268,,0.586192,,,,
5,213174,,0.652638,,,,
6,198824,,0.659567,,,,
7,176951,,0.675934,,,,
8,142599,,0.709263,,,,
9,114997,,0.747779,,,,
10,98929,,0.779747,,,,
11,89583,,0.790545,,,,
12,83634,,0.80585,,,,
13,81981,,0.812141,,,,
14,81549,,0.814522,,,,
15,81392,,0.814862,,,,
16,81375,,0.815032,,,,
17,81373,,0.815032,,,,
18,81309,,0.815032,,,,
19,81309,,0.815032,,,,
0,239560,,,0.431025,,,
0,442647,,,,0.420312,,
1,402416,,,,0.427837,,
2,368890,,,,0.441823,,
3,340522,,,,0.457765,,
4,316206,,,,0.46682,,
5,295133,,,,0.478638,,
6,276694,,,,0.490201,,
7,260424,,,,0.499639,,
8,245962,,,,0.502487,,
9,233022,,,,0.516218,,
0,442753,,,,,0.420312,
1,402522,,,,,0.427794,
2,368996,,,,,0.441823,
3,340628,,,,,0.457765,
4,316312,,,,,0.46682,
5,295239,,,,,0.478638,
6,276800,,,,,0.490201,
7,260530,,,,,0.499639,
8,246068,,,,,0.502487,
9,233128,,,,,0.516218,
0,294015,,,,,,0.00106279
