,Memory usage,RangeBF,Splash,SuRF Real,CHaREQ h=1,CHaREQ h=2,FST
0,12534,0.907275,,,,,
1,75034,0.623108,,,,,
0,105878,,0.236717,,,,
1,93786,,0.306627,,,,
2,77380,,0.492476,,,,
3,73868,,0.548759,,,,
4,73166,,0.561676,,,,
5,73072,,0.563629,,,,
6,73043,,0.563851,,,,
7,73038,,0.563895,,,,
8,73038,,0.563895,,,,
9,73038,,0.563895,,,,
10,73038,,0.563895,,,,
11,73038,,0.563895,,,,
12,73038,,0.563895,,,,
13,73038,,0.563895,,,,
14,73038,,0.563895,,,,
15,73038,,0.563895,,,,
16,73038,,0.563895,,,,
17,73038,,0.563895,,,,
18,73038,,0.563895,,,,
19,73038,,0.563895,,,,
0,97635,,,0.670913,,,
0,161566,,,,0.453815,,
1,146887,,,,0.463847,,
2,134654,,,,0.479071,,
3,124304,,,,0.484975,,
4,115432,,,,0.495761,,
5,107743,,,,0.508766,,
6,101015,,,,0.513871,,
7,95079,,,,0.521861,,
8,89802,,,,0.533446,,
9,85081,,,,0.542989,,
0,161567,,,,,0.453815,
1,146888,,,,,0.463847,
2,134655,,,,,0.479071,
3,124305,,,,,0.484975,
4,115433,,,,,0.495761,
5,107744,,,,,0.508766,
6,101016,,,,,0.513871,
7,95080,,,,,0.521861,
8,89803,,,,,0.533446,
9,85082,,,,,0.542989,
0,120625,,,,,,0.478628
