,Memory usage,RangeBF,Splash,SuRF Real,CHaREQ h=1,CHaREQ h=2,FST
0,12534,0.845712,,,,,
1,75034,0.0257246,,,,,
2,137534,0.00530095,,,,,
3,200034,0.00184033,,,,,
4,262534,0.00128023,,,,,
5,325034,0.000620112,,,,,
6,387534,0.000480086,,,,,
7,450034,0.000260047,,,,,
0,454778,,0.0,,,,
1,454570,,0.0,,,,
2,390756,,0.0,,,,
3,343472,,0.0,,,,
4,294263,,0.0,,,,
5,251581,,0.0,,,,
6,218199,,0.0,,,,
7,187648,,0.0,,,,
8,159585,,0.0,,,,
9,133474,,0.0,,,,
10,118107,,0.0,,,,
11,114082,,0.000100018,,,,
12,109956,,0.00022004,,,,
13,108818,,0.00050009,,,,
14,108412,,0.00290052,,,,
15,108210,,0.00624112,,,,
16,108067,,0.00896161,,,,
17,107867,,0.0130223,,,,
18,107731,,0.0877358,,,,
19,107731,,0.0877358,,,,
0,112583,,,0.0877358,,,
0,685597,,,,0.00078014,,
1,623279,,,,0.000800144,,
2,571348,,,,0.000820148,,
3,527407,,,,0.000920166,,
4,489742,,,,0.000900162,,
5,457100,,,,0.00108019,,
6,428538,,,,0.00104019,,
7,403336,,,,0.000840151,,
8,380934,,,,0.00108019,,
9,360891,,,,0.0011002,,
0,685715,,,,,0.000760137,
1,623397,,,,,0.000740133,
2,571466,,,,,0.000820148,
3,527525,,,,,0.000860155,
4,489860,,,,,0.000880158,
5,457218,,,,,0.00106019,
6,428656,,,,,0.00100018,
7,403454,,,,,0.000840151,
8,381052,,,,,0.00106019,
9,361009,,,,,0.00102018,
0,455235,,,,,,0.0
