,Memory usage,RangeBF,Splash,SuRF Real,CHaREQ h=1,CHaREQ h=2,FST
0,12534,0.989298,,,,,
1,75034,0.352614,,,,,
2,137534,0.185477,,,,,
3,200034,0.10992,,,,,
4,262534,0.0779354,,,,,
5,325034,0.0584465,,,,,
0,735435,,0.0,,,,
1,735280,,0.0,,,,
2,670271,,0.0,,,,
3,622864,,0.0,,,,
4,569742,,4.0308e-05,,,,
5,521117,,8.06159e-05,,,,
6,481000,,0.000181386,,,,
7,438552,,0.000282156,,,,
8,393297,,0.000906929,,,,
9,339098,,0.00223709,,,,
10,274235,,0.00558265,,,,
11,217393,,0.0104801,,,,
12,165698,,0.0255552,,,,
13,125448,,0.0625781,,,,
14,99273,,0.130578,,,,
15,87450,,0.232456,,,,
16,86820,,0.257951,,,,
17,86820,,0.257951,,,,
18,86820,,0.257951,,,,
19,86820,,0.257951,,,,
0,86779,,,0.258031,,,
0,1078115,,,,0.0355516,,
1,980115,,,,0.0363175,,
2,898449,,,,0.035733,,
3,829347,,,,0.0369221,,
4,770117,,,,0.0376879,,
5,718784,,,,0.0386352,,
6,673867,,,,0.0388367,,
7,634235,,,,0.0399653,,
8,599007,,,,0.0403281,,
9,567487,,,,0.0407513,,
0,1079441,,,,,0.0355315,
1,981441,,,,,0.0362973,
2,899775,,,,,0.035733,
3,830673,,,,,0.0369221,
4,771443,,,,,0.0376879,
5,720110,,,,,0.0386352,
6,675193,,,,,0.0388367,
7,635561,,,,,0.0399452,
8,600333,,,,,0.0403281,
9,568813,,,,,0.0407513,
0,735404,,,,,,0.0
