,Memory usage,RangeBF,Rosetta,LilRosetta,Splash Rel. cut-off=0.8,Splash Abs. cut-off=0.8,SuRF Real,SuRF Base,FST
0,12534,1.0,,,,,,,
1,137534,0.350014,,,,,,,
2,262534,0.175549,,,,,,,
3,387534,0.126497,,,,,,,
4,512534,0.101222,,,,,,,
5,637534,0.0891839,,,,,,,
6,762534,0.0799228,,,,,,,
7,887534,0.072613,,,,,,,
0,3750248,,0.257341,,,,,,
1,5000261,,0.165204,,,,,,
2,6250253,,0.104671,,,,,,
3,7500249,,0.066253,,,,,,
4,8750265,,0.0432911,,,,,,
5,10000258,,0.0272466,,,,,,
6,11250249,,0.0170356,,,,,,
7,12500267,,0.0111093,,,,,,
0,625191,,,0.997119,,,,,
1,1875189,,,0.418797,,,,,
2,3125189,,,0.173887,,,,,
3,4375189,,,0.0841868,,,,,
4,5625187,,,0.0411745,,,,,
0,1843590,,,,0.0,,,,
1,1579536,,,,0.0,,,,
2,1315488,,,,0.0,,,,
3,1051474,,,,8.25968e-05,,,,
4,787948,,,,0.00231271,,,,
5,396545,,,,0.114366,,,,
6,257656,,,,0.366544,,,,
7,224425,,,,0.478163,,,,
8,221575,,,,0.491265,,,,
9,220886,,,,0.491709,,,,
10,220886,,,,0.491709,,,,
0,220886,,,,,0.491709,,,
1,220886,,,,,0.491709,,,
2,220886,,,,,0.491709,,,
3,220886,,,,,0.491709,,,
4,220892,,,,,0.491709,,,
5,220916,,,,,0.491709,,,
6,221016,,,,,0.491709,,,
7,221340,,,,,0.491709,,,
8,223920,,,,,0.491699,,,
9,234152,,,,,0.491503,,,
10,277491,,,,,0.489706,,,
11,408887,,,,,0.476697,,,
12,714326,,,,,0.421296,,,
13,1119338,,,,,0.294138,,,
14,1484067,,,,,0.153857,,,
0,220838,,,,,,0.491709,,
1,233342,,,,,,0.491709,,
2,245838,,,,,,0.491689,,
3,258342,,,,,,0.491689,,
4,270838,,,,,,0.307312,,
5,283342,,,,,,0.21757,,
6,295838,,,,,,0.167682,,
7,308342,,,,,,0.140828,,
8,320838,,,,,,0.127602,,
0,220838,,,,,,,0.491709,
0,1843558,,,,,,,,0.0
