,Memory usage,RangeBF,Rosetta,LilRosetta,Splash Rel. cut-off=0.8,Splash Abs. cut-off=0.8,SuRF Real,SuRF Base,FST
0,12534,1.0,,,,,,,
1,137534,0.999628,,,,,,,
2,262534,0.995355,,,,,,,
3,387534,0.987259,,,,,,,
4,512534,0.976636,,,,,,,
5,637534,0.962464,,,,,,,
6,762534,0.944941,,,,,,,
7,887534,0.930417,,,,,,,
0,3750248,,0.25738,,,,,,
1,5000261,,0.166216,,,,,,
2,6250253,,0.104689,,,,,,
3,7500249,,0.0656827,,,,,,
4,8750265,,0.0421812,,,,,,
5,10000258,,0.0276177,,,,,,
6,11250249,,0.0171312,,,,,,
7,12500267,,0.0108197,,,,,,
0,625191,,,0.995923,,,,,
1,1875189,,,0.413795,,,,,
2,3125189,,,0.170469,,,,,
3,4375189,,,0.0846956,,,,,
4,5625187,,,0.041358,,,,,
0,1843590,,,,0.0,,,,
1,1579536,,,,0.000274413,,,,
2,1315488,,,,0.0168372,,,,
3,1051474,,,,0.17435,,,,
4,787948,,,,0.551511,,,,
5,396545,,,,0.935395,,,,
6,257656,,,,0.972716,,,,
7,224425,,,,0.974401,,,,
8,221575,,,,0.974401,,,,
9,220886,,,,0.974401,,,,
10,220886,,,,0.974401,,,,
0,220886,,,,,0.974401,,,
1,220886,,,,,0.974401,,,
2,220886,,,,,0.974401,,,
3,220886,,,,,0.974401,,,
4,220892,,,,,0.974401,,,
5,220916,,,,,0.974401,,,
6,221016,,,,,0.974401,,,
7,221340,,,,,0.974225,,,
8,223920,,,,,0.972794,,,
9,234152,,,,,0.966522,,,
10,277491,,,,,0.936415,,,
11,408887,,,,,0.84725,,,
12,714326,,,,,0.657572,,,
13,1119338,,,,,0.404445,,,
14,1484067,,,,,0.190541,,,
0,220838,,,,,,0.974401,,
1,233342,,,,,,0.974401,,
2,245838,,,,,,0.974107,,
3,258342,,,,,,0.974107,,
4,270838,,,,,,0.946999,,
5,283342,,,,,,0.9342,,
6,295838,,,,,,0.926849,,
7,308342,,,,,,0.922322,,
8,320838,,,,,,0.920009,,
0,220838,,,,,,,0.974401,
0,1843558,,,,,,,,0.0
