,Memory usage,Prefix-BF,Prefix-QF
0,88895,0.776309,
1,177716,0.529118,
2,266538,0.38424,
3,355362,0.280085,
4,444183,0.203794,
5,533003,0.147774,
6,621825,0.108284,
7,710649,0.0796857,
8,799471,0.0603289,
9,888293,0.0419559,
10,977114,0.0322567,
11,1065937,0.0235275,
12,1154758,0.0174862,
13,1243578,0.0125951,
14,1332403,0.00926965,
15,1421224,0.00720511,
16,1510047,0.00527913,
17,1598870,0.00387967,
18,1687691,0.00308988,
19,1776512,0.00234166,
20,1865333,0.00149645,
21,1954156,0.00113619,
22,2042975,0.000831359,
23,2131800,0.000789791,
24,2220624,0.000623519,
25,1048576,,0.174849
26,1310720,,0.0923363
27,1572864,,0.0471103
28,1835008,,0.0240401
29,2097152,,0.0120824
30,2359296,,0.00599964
31,2621440,,0.00299289
32,2883584,,0.00170429
33,3145728,,0.000872927
34,3407872,,0.000429535
35,3670016,,0.000180128
36,3932160,,9.69919e-05
