,Memory usage,RangeBF,Splash Rel. cut-off=0.8,Splash Abs. cut-off=0.8,CHaREQ,SuRF Real,SuRF Base,FST
0,12534,0.999914,,,,,,
1,137534,0.999914,,,,,,
2,262534,0.9998,,,,,,
3,387534,0.999458,,,,,,
4,512534,0.997832,,,,,,
5,637534,0.996207,,,,,,
6,762534,0.995009,,,,,,
7,887534,0.994581,,,,,,
0,869888,,0.0,,,,,
1,743068,,0.212224,,,,,
2,530884,,0.484912,,,,,
3,388781,,0.665022,,,,,
4,277016,,0.781901,,,,,
5,225929,,0.822172,,,,,
6,215313,,0.829844,,,,,
7,213578,,0.830985,,,,,
8,213142,,0.831042,,,,,
9,212670,,0.831128,,,,,
10,212670,,0.831128,,,,,
0,212670,,,0.831128,,,,
1,212670,,,0.831128,,,,
2,219796,,,0.816639,,,,
3,243242,,,0.773658,,,,
4,291551,,,0.69263,,,,
5,371122,,,0.568536,,,,
6,475848,,,0.421225,,,,
7,607638,,,0.277081,,,,
8,707778,,,0.163624,,,,
9,783350,,,0.0823399,,,,
10,829066,,,0.0349952,,,,
11,852792,,,0.0122069,,,,
12,863281,,,0.00410701,,,,
13,867227,,,0.00114084,,,,
14,869183,,,0.000256688,,,,
0,878551,,,,0.660687,,,
1,834461,,,,0.672067,,,
2,797709,,,,0.680794,,,
3,766303,,,,0.687183,,,
4,739431,,,,0.699333,,,
5,716157,,,,0.706891,,,
6,695804,,,,0.717729,,,
7,677733,,,,0.724802,,,
8,661670,,,,0.733928,,,
9,647301,,,,0.740831,,,
0,220527,,,,,0.822172,,
1,233031,,,,,0.822172,,
2,245535,,,,,0.821773,,
3,258031,,,,,0.821773,,
4,270535,,,,,0.74759,,
5,283039,,,,,0.710827,,
6,295535,,,,,0.691432,,
7,308039,,,,,0.679454,,
8,320535,,,,,0.673493,,
0,220527,,,,,,0.822172,
0,871006,,,,,,,0.00718727
