,Memory usage,RangeBF,Splash Rel. cut-off=0.8,Splash Abs. cut-off=0.8,CHaREQ,SuRF Real,SuRF Base,FST
0,12534,0.999464,,,,,,
1,137534,0.999464,,,,,,
2,262534,0.999405,,,,,,
3,387534,0.998839,,,,,,
4,512534,0.99747,,,,,,
5,637534,0.995356,,,,,,
6,762534,0.994523,,,,,,
7,887534,0.993808,,,,,,
0,898388,,0.0,,,,,
1,779272,,0.212878,,,,,
2,608189,,0.474518,,,,,
3,480431,,0.647118,,,,,
4,366533,,0.772654,,,,,
5,287949,,0.841659,,,,,
6,212314,,0.865087,,,,,
7,197333,,0.871606,,,,,
8,194173,,0.872559,,,,,
9,194152,,0.872559,,,,,
10,194152,,0.872559,,,,,
0,194152,,,0.872559,,,,
1,194152,,,0.872559,,,,
2,203550,,,0.855531,,,,
3,225354,,,0.812426,,,,
4,299718,,,0.744195,,,,
5,355524,,,0.651494,,,,
6,426221,,,0.544475,,,,
7,509967,,,0.429834,,,,
8,599004,,,0.31573,,,,
9,688471,,,0.209723,,,,
10,765013,,,0.125774,,,,
11,823814,,,0.0680519,,,,
12,862709,,,0.0300667,,,,
13,884009,,,0.0108061,,,,
14,894343,,,0.00264944,,,,
0,894646,,,,0.663789,,,
1,849808,,,,0.67144,,,
2,812285,,,,0.684062,,,
3,780391,,,,0.691653,,,
4,753149,,,,0.700703,,,
5,729390,,,,0.711271,,,
6,708561,,,,0.718534,,,
7,690223,,,,0.726989,,,
8,673733,,,,0.733835,,,
9,659051,,,,0.744433,,,
0,211706,,,,,0.852167,,
1,224210,,,,,0.852167,,
2,274268,,,,,0.851989,,
3,286772,,,,,0.851989,,
4,299268,,,,,0.790962,,
5,311772,,,,,0.757472,,
6,324268,,,,,0.737854,,
7,336772,,,,,0.727941,,
8,349268,,,,,0.723327,,
0,211706,,,,,,0.852167,
0,902388,,,,,,,0.0146166
