,Memory usage,RangeBF,Splash Rel. cut-off=0.8,Splash Abs. cut-off=0.8,CHaREQ,SuRF Real,SuRF Base,FST
0,12534,0.999486,,,,,,
1,137534,0.999486,,,,,,
2,262534,0.999486,,,,,,
3,387534,0.999419,,,,,,
4,512534,0.99933,,,,,,
5,637534,0.998771,,,,,,
6,762534,0.997766,,,,,,
7,887534,0.996515,,,,,,
0,1414715,,0.0,,,,,
1,1284417,,0.166555,,,,,
2,1082937,,0.391547,,,,,
3,905859,,0.568646,,,,,
4,701377,,0.735603,,,,,
5,493128,,0.873029,,,,,
6,328453,,0.952308,,,,,
7,182301,,0.990707,,,,,
8,164102,,0.994013,,,,,
9,164102,,0.994013,,,,,
10,164102,,0.994013,,,,,
0,164102,,,0.994013,,,,
1,164102,,,0.994013,,,,
2,164182,,,0.993745,,,,
3,164682,,,0.992539,,,,
4,166889,,,0.988384,,,,
5,173333,,,0.978198,,,,
6,191196,,,0.953849,,,,
7,258407,,,0.903632,,,,
8,344370,,,0.813519,,,,
9,490194,,,0.678126,,,,
10,702304,,,0.500558,,,,
11,952161,,,0.307979,,,,
12,1175455,,,0.152035,,,,
13,1322584,,,0.0552205,,,,
14,1389690,,,0.0139615,,,,
0,1446807,,,,0.664232,,,
1,1374230,,,,0.6752,,,
2,1313527,,,,0.682773,,,
3,1262042,,,,0.696086,,,
4,1217825,,,,0.704642,,,
5,1179547,,,,0.712483,,,
6,1145817,,,,0.724478,,,
7,1116142,,,,0.732029,,,
8,1089448,,,,0.739222,,,
9,1065715,,,,0.746437,,,
0,164085,,,,,0.993991,,
1,176589,,,,,0.993991,,
2,189085,,,,,0.993969,,
3,201589,,,,,0.993969,,
4,214085,,,,,0.971005,,
5,250564,,,,,0.958294,,
6,263060,,,,,0.95128,,
7,275556,,,,,0.947304,,
8,288060,,,,,0.945159,,
0,164085,,,,,,0.993991,
0,1414687,,,,,,,4.46768e-05
