,Memory usage,RangeBF,Splash Rel. cut-off=0.8,Splash Abs. cut-off=0.8,CHaREQ,SuRF Real,SuRF Base,FST
0,12534,0.999478,,,,,,
1,137534,0.999478,,,,,,
2,262534,0.998934,,,,,,
3,387534,0.996167,,,,,,
4,512534,0.994262,,,,,,
5,637534,0.993672,,,,,,
6,762534,0.993378,,,,,,
7,887534,0.9934,,,,,,
0,556195,,0.0,,,,,
1,539610,,0.0379652,,,,,
2,510124,,0.0708502,,,,,
3,383020,,0.306375,,,,,
4,325483,,0.387204,,,,,
5,250270,,0.515229,,,,,
6,234384,,0.53657,,,,,
7,231533,,0.539677,,,,,
8,231126,,0.539904,,,,,
9,230438,,0.539904,,,,,
10,230438,,0.539904,,,,,
0,230438,,,0.539904,,,,
1,230438,,,0.539904,,,,
2,230859,,,0.538385,,,,
3,232351,,,0.53496,,,,
4,235819,,,0.528202,,,,
5,255707,,,0.486744,,,,
6,287356,,,0.426848,,,,
7,328326,,,0.358039,,,,
8,375737,,,0.28517,,,,
9,440934,,,0.172091,,,,
10,492238,,,0.0916245,,,,
11,525524,,,0.040596,,,,
12,543147,,,0.0155807,,,,
13,551511,,,0.00496677,,,,
14,554679,,,0.00104325,,,,
0,576905,,,,0.671762,,,
1,547769,,,,0.68097,,,
2,523561,,,,0.688409,,,
3,502843,,,,0.694532,,,
4,485273,,,,0.707913,,,
5,469840,,,,0.715646,,,
6,456174,,,,0.724061,,,
7,444326,,,,0.735241,,,
8,433759,,,,0.739619,,,
9,424199,,,,0.748237,,,
0,454129,,,,,0.113215,,
1,466641,,,,,0.113215,,
2,479137,,,,,0.113147,,
3,491633,,,,,0.113147,,
4,504137,,,,,0.105913,,
5,516641,,,,,0.102579,,
6,529137,,,,,0.100719,,
7,541633,,,,,0.0994943,,
8,554137,,,,,0.0989953,,
0,454129,,,,,,0.113215,
0,556212,,,,,,,0.000362869
