,Memory usage,RangeBF,Splash Rel. cut-off=0.8,Splash Abs. cut-off=0.8,CHaREQ,SuRF Real,SuRF Base,FST
0,12534,1.0,,,,,,
1,137534,1.0,,,,,,
2,262534,1.0,,,,,,
3,387534,0.999959,,,,,,
4,512534,0.99969,,,,,,
5,637534,0.999255,,,,,,
6,762534,0.9982,,,,,,
7,887534,0.99669,,,,,,
0,1414715,,0.0,,,,,
1,1284417,,0.984797,,,,,
2,1082937,,0.999979,,,,,
3,905859,,0.999979,,,,,
4,701377,,0.999979,,,,,
5,493128,,0.999979,,,,,
6,328453,,0.999979,,,,,
7,182301,,0.999979,,,,,
8,164102,,1.0,,,,,
9,164102,,1.0,,,,,
10,164102,,1.0,,,,,
0,164102,,,1.0,,,,
1,164102,,,1.0,,,,
2,164182,,,0.999524,,,,
3,164682,,,0.997787,,,,
4,166889,,,0.99245,,,,
5,173333,,,0.97975,,,,
6,191196,,,0.952322,,,,
7,258407,,,0.896659,,,,
8,344370,,,0.804799,,,,
9,490194,,,0.66768,,,,
10,702304,,,0.488386,,,,
11,952161,,,0.299348,,,,
12,1175455,,,0.144586,,,,
13,1322584,,,0.0513393,,,,
14,1389690,,,0.012597,,,,
0,1446807,,,,0.659303,,,
1,1374230,,,,0.670514,,,
2,1313527,,,,0.680298,,,
3,1262042,,,,0.691178,,,
4,1217825,,,,0.697528,,,
5,1179547,,,,0.709153,,,
6,1145817,,,,0.717075,,,
7,1116142,,,,0.728017,,,
8,1089448,,,,0.736064,,,
9,1065715,,,,0.74349,,,
0,164085,,,,,0.999979,,
1,176589,,,,,0.999979,,
2,189085,,,,,0.999979,,
3,201589,,,,,0.999979,,
4,214085,,,,,0.99971,,
5,250564,,,,,0.999545,,
6,263060,,,,,0.999524,,
7,275556,,,,,0.999442,,
8,288060,,,,,0.999442,,
0,164085,,,,,,0.999979,
0,1414687,,,,,,,4.13693e-05
