,Memory usage,RangeBF,Splash Rel. cut-off=0.8,Splash Abs. cut-off=0.8,CHaREQ,SuRF Real,SuRF Base,FST
0,12534,0.992732,,,,,,
1,137534,0.189243,,,,,,
2,262534,0.135221,,,,,,
3,387534,0.11393,,,,,,
4,512534,0.0956241,,,,,,
5,637534,0.0748562,,,,,,
0,898388,,0.0206917,,,,,
1,779272,,0.0457636,,,,,
2,608189,,0.0923662,,,,,
3,480431,,0.150039,,,,,
4,366533,,0.220613,,,,,
5,287949,,0.289041,,,,,
6,212314,,0.331993,,,,,
7,197333,,0.358601,,,,,
8,194173,,0.366512,,,,,
9,194152,,0.366861,,,,,
10,194152,,0.366861,,,,,
0,194152,,,0.366861,,,,
1,194152,,,0.366861,,,,
2,203550,,,0.356008,,,,
3,225354,,,0.335687,,,,
4,299718,,,0.306889,,,,
5,355524,,,0.267129,,,,
6,426221,,,0.225647,,,,
7,509967,,,0.182194,,,,
8,599004,,,0.140887,,,,
9,688471,,,0.100789,,,,
10,765013,,,0.0695498,,,,
11,823814,,,0.0475288,,,,
12,862709,,,0.0338542,,,,
13,884009,,,0.0261397,,,,
14,894343,,,0.0221627,,,,
0,894646,,,,0.0843576,,,
1,849808,,,,0.0851748,,,
2,812285,,,,0.08609,,,
3,780391,,,,0.0874956,,,
4,753149,,,,0.0883891,,,
5,729390,,,,0.0892717,,,
6,708561,,,,0.0898383,,,
7,690223,,,,0.0902632,,,
8,673733,,,,0.0922028,,,
9,659051,,,,0.0917669,,,
0,211706,,,,,0.361347,,
1,224210,,,,,0.361347,,
2,274268,,,,,0.35323,,
3,286772,,,,,0.35323,,
4,299268,,,,,0.260504,,
5,311772,,,,,0.215939,,
6,324268,,,,,0.19176,,
7,336772,,,,,0.178173,,
8,349268,,,,,0.171221,,
0,211706,,,,,,0.361347,
0,902388,,,,,,,0.0409584
