,Memory usage,RangeBF,Splash Rel. cut-off=0.8,Splash Abs. cut-off=0.8,CHaREQ,SuRF Real,SuRF Base,FST
0,12534,1.0,,,,,,
1,137534,1.0,,,,,,
2,262534,0.999956,,,,,,
3,387534,0.999277,,,,,,
4,512534,0.997788,,,,,,
5,637534,0.996145,,,,,,
6,762534,0.994831,,,,,,
7,887534,0.994174,,,,,,
0,898388,,0.0,,,,,
1,779272,,0.944261,,,,,
2,608189,,0.95773,,,,,
3,480431,,0.965615,,,,,
4,366533,,0.969097,,,,,
5,287949,,0.970323,,,,,
6,212314,,0.970499,,,,,
7,197333,,0.970586,,,,,
8,194173,,0.970586,,,,,
9,194152,,0.970586,,,,,
10,194152,,0.970586,,,,,
0,194152,,,0.970586,,,,
1,194152,,,0.970586,,,,
2,203550,,,0.906656,,,,
3,225354,,,0.817035,,,,
4,299718,,,0.713682,,,,
5,355524,,,0.595567,,,,
6,426221,,,0.4757,,,,
7,509967,,,0.3619,,,,
8,599004,,,0.25973,,,,
9,688471,,,0.167546,,,,
10,765013,,,0.0985348,,,,
11,823814,,,0.0514685,,,,
12,862709,,,0.0230842,,,,
13,884009,,,0.00777503,,,,
14,894343,,,0.00199304,,,,
0,894646,,,,0.658205,,,
1,849808,,,,0.671631,,,
2,812285,,,,0.681443,,,
3,780391,,,,0.690006,,,
4,753149,,,,0.698986,,,
5,729390,,,,0.705294,,,
6,708561,,,,0.717996,,,
7,690223,,,,0.723516,,,
8,673733,,,,0.734817,,,
9,659051,,,,0.739679,,,
0,211706,,,,,0.952737,,
1,224210,,,,,0.952737,,
2,274268,,,,,0.952715,,
3,286772,,,,,0.952715,,
4,299268,,,,,0.916906,,
5,311772,,,,,0.899122,,
6,324268,,,,,0.889617,,
7,336772,,,,,0.883922,,
8,349268,,,,,0.880703,,
0,211706,,,,,,0.952737,
0,902388,,,,,,,0.0245078
