,Memory usage,RangeBF,LilRosetta p=0.8,Splash Rel. cut-off=0.8,Splash Abs. cut-off=0.8,SuRF Real,Layered CHaREQ h=14 b=3,Layered CHaREQ h=14 b=4,Layered CHaREQ h=14 b=5,Layered CHaREQ h=14 b=6,SuRF Base,FST
0,12534,0.0291029,,,,,,,,,,
1,25034,0.00020002,,,,,,,,,,
2,37534,0.0,,,,,,,,,,
3,50034,0.0,,,,,,,,,,
4,62534,0.0,,,,,,,,,,
5,75034,0.0,,,,,,,,,,
6,87534,0.0,,,,,,,,,,
7,100034,0.0,,,,,,,,,,
0,52392,,0.905791,,,,,,,,,
1,78432,,0.686969,,,,,,,,,
2,104553,,0.460046,,,,,,,,,
3,130671,,0.284428,,,,,,,,,
4,156712,,0.166217,,,,,,,,,
5,182833,,0.0949095,,,,,,,,,
0,178165,,,0.0,,,,,,,,
1,164949,,,0.0,,,,,,,,
2,138553,,,0.0,,,,,,,,
3,125353,,,0.0,,,,,,,,
4,98937,,,0.0,,,,,,,,
5,72541,,,0.0,,,,,,,,
6,59321,,,0.0,,,,,,,,
7,32927,,,0.00010001,,,,,,,,
8,19912,,,0.0128013,,,,,,,,
9,16178,,,0.366037,,,,,,,,
10,16178,,,0.366037,,,,,,,,
0,16178,,,,0.366037,,,,,,,
1,16178,,,,0.366037,,,,,,,
2,16178,,,,0.366037,,,,,,,
3,16178,,,,0.366037,,,,,,,
4,16178,,,,0.366037,,,,,,,
5,16178,,,,0.366037,,,,,,,
6,16178,,,,0.366037,,,,,,,
7,16178,,,,0.366037,,,,,,,
8,16178,,,,0.366037,,,,,,,
9,16178,,,,0.366037,,,,,,,
10,16178,,,,0.366037,,,,,,,
11,16198,,,,0.366037,,,,,,,
12,18219,,,,0.366037,,,,,,,
13,129515,,,,0.356736,,,,,,,
14,178165,,,,0.0,,,,,,,
0,16130,,,,,0.366037,,,,,,
0,136661,,,,,,0.0,,,,,
1,133537,,,,,,0.0,,,,,
2,131662,,,,,,0.0,,,,,
3,130411,,,,,,0.0,,,,,
4,129518,,,,,,0.0,,,,,
5,128849,,,,,,0.0,,,,,
0,120945,,,,,,,0.0,,,,
1,117821,,,,,,,0.0,,,,
2,115946,,,,,,,0.0,,,,
3,114695,,,,,,,0.0,,,,
4,113802,,,,,,,0.0,,,,
5,113133,,,,,,,0.0,,,,
0,105229,,,,,,,,0.0,,,
1,102105,,,,,,,,0.0,,,
2,100230,,,,,,,,0.0,,,
3,98979,,,,,,,,0.0,,,
4,98086,,,,,,,,0.0,,,
5,97417,,,,,,,,0.0,,,
0,89512,,,,,,,,,0.0,,
1,86388,,,,,,,,,0.0,,
2,84513,,,,,,,,,0.0,,
3,83262,,,,,,,,,0.0,,
4,82369,,,,,,,,,0.0,,
5,81700,,,,,,,,,0.0,,
0,16130,,,,,0.366037,,,,,,
1,17386,,,,,0.366037,,,,,,
2,18634,,,,,0.20302,,,,,,
3,19882,,,,,0.123012,,,,,,
4,21138,,,,,0.0627063,,,,,,
5,22386,,,,,0.0331033,,,,,,
6,23634,,,,,0.0173017,,,,,,
7,24882,,,,,0.00830083,,,,,,
8,26138,,,,,0.00350035,,,,,,
0,16130,,,,,,,,,,0.366037,
0,178133,,,,,,,,,,,0.0
