,Memory usage,RangeBF,LilRosetta p=0.8,Splash Rel. cut-off=0.8,Splash Abs. cut-off=0.8,SuRF Real,Layered CHaREQ h=14 b=3,Layered CHaREQ h=14 b=4,Layered CHaREQ h=14 b=5,Layered CHaREQ h=14 b=6,SuRF Base,FST
0,12534,0.99871,,,,,,,,,,
1,25034,0.967645,,,,,,,,,,
2,37534,0.861658,,,,,,,,,,
3,50034,0.732452,,,,,,,,,,
4,62534,0.549178,,,,,,,,,,
5,75034,0.414812,,,,,,,,,,
6,87534,0.310437,,,,,,,,,,
7,100034,0.226271,,,,,,,,,,
0,52479,,0.993658,,,,,,,,,
1,78619,,0.957863,,,,,,,,,
2,104745,,0.887778,,,,,,,,,
3,130886,,0.785016,,,,,,,,,
4,157021,,0.636031,,,,,,,,,
5,183155,,0.389552,,,,,,,,,
0,149235,,,0.0,,,,,,,,
1,136055,,,0.998173,,,,,,,,
2,109814,,,0.99871,,,,,,,,
3,96858,,,0.998818,,,,,,,,
4,71805,,,0.998818,,,,,,,,
5,49346,,,0.998818,,,,,,,,
6,40062,,,0.998818,,,,,,,,
7,27514,,,0.998818,,,,,,,,
8,24727,,,0.998818,,,,,,,,
9,23797,,,0.998818,,,,,,,,
10,23797,,,0.998818,,,,,,,,
0,23797,,,,0.998818,,,,,,,
1,23797,,,,0.998818,,,,,,,
2,23833,,,,0.996775,,,,,,,
3,23951,,,,0.991831,,,,,,,
4,24372,,,,0.980866,,,,,,,
5,25317,,,,0.962915,,,,,,,
6,27221,,,,0.933785,,,,,,,
7,30985,,,,0.885628,,,,,,,
8,37530,,,,0.814683,,,,,,,
9,49458,,,,0.702354,,,,,,,
10,66674,,,,0.557777,,,,,,,
11,88582,,,,0.391702,,,,,,,
12,114857,,,,0.211007,,,,,,,
13,137181,,,,0.0705149,,,,,,,
14,149235,,,,0.0,,,,,,,
0,23795,,,,,0.997958,,,,,,
0,112576,,,,,,0.0896485,,,,,
1,109450,,,,,,0.0920133,,,,,
2,107575,,,,,,0.0982479,,,,,
3,106325,,,,,,0.110287,,,,,
4,105431,,,,,,0.107062,,,,,
5,104762,,,,,,0.118994,,,,,
0,100145,,,,,,,0.0896485,,,,
1,97019,,,,,,,0.0920133,,,,
2,95144,,,,,,,0.0982479,,,,
3,93894,,,,,,,0.110287,,,,
4,93000,,,,,,,0.107062,,,,
5,92331,,,,,,,0.118994,,,,
0,87714,,,,,,,,0.0896485,,,
1,84588,,,,,,,,0.0920133,,,
2,82713,,,,,,,,0.0982479,,,
3,81463,,,,,,,,0.110287,,,
4,80569,,,,,,,,0.107062,,,
5,79900,,,,,,,,0.118994,,,
0,75282,,,,,,,,,0.0896485,,
1,72156,,,,,,,,,0.0920133,,
2,70281,,,,,,,,,0.0982479,,
3,69031,,,,,,,,,0.110287,,
4,68137,,,,,,,,,0.107062,,
5,67468,,,,,,,,,0.118994,,
0,23795,,,,,0.997958,,,,,,
1,25051,,,,,0.997958,,,,,,
2,26299,,,,,0.997205,,,,,,
3,27547,,,,,0.996668,,,,,,
4,28803,,,,,0.99656,,,,,,
5,30051,,,,,0.996345,,,,,,
6,31299,,,,,0.996238,,,,,,
7,32547,,,,,0.99613,,,,,,
8,33803,,,,,0.99613,,,,,,
0,23795,,,,,,,,,,0.997958,
0,149211,,,,,,,,,,,0.000537461
