,Memory usage,RangeBF,LilRosetta p=0.8,Splash Rel. cut-off=0.8,Splash Abs. cut-off=0.8,SuRF Real,Layered CHaREQ h=14 b=3,Layered CHaREQ h=14 b=4,Layered CHaREQ h=14 b=5,Layered CHaREQ h=14 b=6,SuRF Base,FST
0,12534,0.0291029,,,,,,,,,,
1,25034,0.00240024,,,,,,,,,,
2,37534,0.00020002,,,,,,,,,,
3,50034,0.00020002,,,,,,,,,,
4,62534,0.0,,,,,,,,,,
5,75034,0.0,,,,,,,,,,
6,87534,0.0,,,,,,,,,,
7,100034,0.0,,,,,,,,,,
0,53310,,0.728473,,,,,,,,,
1,79872,,0.405741,,,,,,,,,
2,106435,,0.190019,,,,,,,,,
3,133000,,0.0844084,,,,,,,,,
4,159567,,0.0374037,,,,,,,,,
5,186134,,0.019702,,,,,,,,,
0,127407,,,0.0,,,,,,,,
1,114207,,,0.0,,,,,,,,
2,84738,,,0.00120012,,,,,,,,
3,71608,,,0.00660066,,,,,,,,
4,46400,,,0.0674067,,,,,,,,
5,28426,,,0.312231,,,,,,,,
6,24632,,,0.429843,,,,,,,,
7,22909,,,0.49685,,,,,,,,
8,22842,,,0.50055,,,,,,,,
9,22765,,,0.50185,,,,,,,,
10,22765,,,0.50185,,,,,,,,
0,22765,,,,0.50185,,,,,,,
1,22765,,,,0.50185,,,,,,,
2,22767,,,,0.50185,,,,,,,
3,22807,,,,0.50185,,,,,,,
4,23007,,,,0.50185,,,,,,,
5,23735,,,,0.50165,,,,,,,
6,26995,,,,0.49875,,,,,,,
7,36507,,,,0.473347,,,,,,,
8,60517,,,,0.380238,,,,,,,
9,91063,,,,0.233523,,,,,,,
10,112918,,,,0.0909091,,,,,,,
11,122932,,,,0.0287029,,,,,,,
12,126267,,,,0.00620062,,,,,,,
13,126919,,,,0.00170017,,,,,,,
14,127259,,,,0.00040004,,,,,,,
0,22717,,,,,0.50185,,,,,,
0,97966,,,,,,0.0,,,,,
1,94842,,,,,,0.0,,,,,
2,92967,,,,,,0.0,,,,,
3,91716,,,,,,0.0,,,,,
4,90823,,,,,,0.0,,,,,
5,90154,,,,,,0.0,,,,,
0,87516,,,,,,,0.0,,,,
1,84392,,,,,,,0.0,,,,
2,82517,,,,,,,0.0,,,,
3,81266,,,,,,,0.0,,,,
4,80373,,,,,,,0.0,,,,
5,79704,,,,,,,0.00010001,,,,
0,77065,,,,,,,,0.00020002,,,
1,73941,,,,,,,,0.00030003,,,
2,72066,,,,,,,,0.00020002,,,
3,70815,,,,,,,,0.00020002,,,
4,69922,,,,,,,,0.00020002,,,
5,69253,,,,,,,,0.00030003,,,
0,66615,,,,,,,,,0.00080008,,
1,63491,,,,,,,,,0.00110011,,
2,61616,,,,,,,,,0.00090009,,
3,60365,,,,,,,,,0.00080008,,
4,59472,,,,,,,,,0.00090009,,
5,58803,,,,,,,,,0.00120012,,
0,22717,,,,,0.50185,,,,,,
1,23981,,,,,0.50185,,,,,,
2,25229,,,,,0.347335,,,,,,
3,26477,,,,,0.264326,,,,,,
4,27725,,,,,0.20192,,,,,,
5,28973,,,,,0.171517,,,,,,
6,30229,,,,,0.154615,,,,,,
7,31477,,,,,0.146215,,,,,,
8,32725,,,,,0.141714,,,,,,
0,22717,,,,,,,,,,0.50185,
0,127375,,,,,,,,,,,0.0
