,Memory usage,RangeBF,LilRosetta p=0.8,Splash Rel. cut-off=0.8,Splash Abs. cut-off=0.8,SuRF Real,Layered CHaREQ h=14 b=3,Layered CHaREQ h=14 b=4,Layered CHaREQ h=14 b=5,Layered CHaREQ h=14 b=6,SuRF Base,FST
0,12534,0.997122,,,,,,,,,,
1,25034,0.9544,,,,,,,,,,
2,37534,0.801882,,,,,,,,,,
3,50034,0.609297,,,,,,,,,,
4,62534,0.455562,,,,,,,,,,
5,75034,0.328168,,,,,,,,,,
6,87534,0.227338,,,,,,,,,,
7,100034,0.171223,,,,,,,,,,
0,53310,,0.931046,,,,,,,,,
1,79872,,0.770559,,,,,,,,,
2,106435,,0.476812,,,,,,,,,
3,133000,,0.154732,,,,,,,,,
4,159567,,0.0359712,,,,,,,,,
5,186134,,0.00885445,,,,,,,,,
0,127407,,,0.0,,,,,,,,
1,114207,,,0.150968,,,,,,,,
2,84738,,,0.397676,,,,,,,,
3,71608,,,0.512341,,,,,,,,
4,46400,,,0.693304,,,,,,,,
5,28426,,,0.798561,,,,,,,,
6,24632,,,0.815717,,,,,,,,
7,22909,,,0.820919,,,,,,,,
8,22842,,,0.821251,,,,,,,,
9,22765,,,0.821251,,,,,,,,
10,22765,,,0.821251,,,,,,,,
0,22765,,,,0.821251,,,,,,,
1,22765,,,,0.821251,,,,,,,
2,22767,,,,0.821251,,,,,,,
3,22807,,,,0.82114,,,,,,,
4,23007,,,,0.819148,,,,,,,
5,23735,,,,0.812286,,,,,,,
6,26995,,,,0.781074,,,,,,,
7,36507,,,,0.695407,,,,,,,
8,60517,,,,0.489651,,,,,,,
9,91063,,,,0.267183,,,,,,,
10,112918,,,,0.101162,,,,,,,
11,122932,,,,0.0281129,,,,,,,
12,126267,,,,0.00520199,,,,,,,
13,126919,,,,0.000553403,,,,,,,
14,127259,,,,0.000110681,,,,,,,
0,22717,,,,,0.821251,,,,,,
0,97966,,,,,,0.255119,,,,,
1,94842,,,,,,0.25534,,,,,
2,92967,,,,,,0.256115,,,,,
3,91716,,,,,,0.257775,,,,,
4,90823,,,,,,0.258661,,,,,
5,90154,,,,,,0.257775,,,,,
0,87516,,,,,,,0.354178,,,,
1,84392,,,,,,,0.3544,,,,
2,82517,,,,,,,0.355174,,,,
3,81266,,,,,,,0.356835,,,,
4,80373,,,,,,,0.35772,,,,
5,79704,,,,,,,0.356835,,,,
0,77065,,,,,,,,0.511787,,,
1,73941,,,,,,,,0.512009,,,
2,72066,,,,,,,,0.512784,,,
3,70815,,,,,,,,0.514444,,,
4,69922,,,,,,,,0.515329,,,
5,69253,,,,,,,,0.514444,,,
0,66615,,,,,,,,,0.669729,,
1,63491,,,,,,,,,0.66995,,
2,61616,,,,,,,,,0.670725,,
3,60365,,,,,,,,,0.672385,,
4,59472,,,,,,,,,0.673271,,
5,58803,,,,,,,,,0.672385,,
0,22717,,,,,0.821251,,,,,,
1,23981,,,,,0.821251,,,,,,
2,25229,,,,,0.788268,,,,,,
3,26477,,,,,0.77078,,,,,,
4,27725,,,,,0.758273,,,,,,
5,28973,,,,,0.751079,,,,,,
6,30229,,,,,0.748976,,,,,,
7,31477,,,,,0.74798,,,,,,
8,32725,,,,,0.746984,,,,,,
0,22717,,,,,,,,,,0.821251,
0,127375,,,,,,,,,,,0.0
