,Memory usage,RangeBF,LilRosetta p=0.8,Splash Rel. cut-off=0.8,Splash Abs. cut-off=0.8,SuRF Real,Layered CHaREQ h=14 b=3,Layered CHaREQ h=14 b=4,Layered CHaREQ h=14 b=5,Layered CHaREQ h=14 b=6,SuRF Base,FST
0,12534,0.2809,,,,,,,,,,
1,25034,0.0559,,,,,,,,,,
2,37534,0.0181,,,,,,,,,,
3,50034,0.0039,,,,,,,,,,
4,62534,0.0018,,,,,,,,,,
5,75034,0.0009,,,,,,,,,,
6,87534,0.0003,,,,,,,,,,
7,100034,0.0001,,,,,,,,,,
0,52392,,0.9918,,,,,,,,,
1,78432,,0.968,,,,,,,,,
2,104553,,0.9137,,,,,,,,,
3,130671,,0.8256,,,,,,,,,
4,156712,,0.7235,,,,,,,,,
5,182833,,0.612,,,,,,,,,
0,178165,,,0.0,,,,,,,,
1,164949,,,0.0,,,,,,,,
2,138553,,,0.0,,,,,,,,
3,125353,,,0.0,,,,,,,,
4,98937,,,0.0,,,,,,,,
5,72541,,,0.0,,,,,,,,
6,59321,,,0.0,,,,,,,,
7,32927,,,0.0002,,,,,,,,
8,19912,,,0.0138,,,,,,,,
9,16178,,,0.3669,,,,,,,,
10,16178,,,0.3669,,,,,,,,
0,16178,,,,0.3669,,,,,,,
1,16178,,,,0.3669,,,,,,,
2,16178,,,,0.3669,,,,,,,
3,16178,,,,0.3669,,,,,,,
4,16178,,,,0.3669,,,,,,,
5,16178,,,,0.3669,,,,,,,
6,16178,,,,0.3669,,,,,,,
7,16178,,,,0.3669,,,,,,,
8,16178,,,,0.3669,,,,,,,
9,16178,,,,0.3669,,,,,,,
10,16178,,,,0.3669,,,,,,,
11,16198,,,,0.3669,,,,,,,
12,18219,,,,0.3669,,,,,,,
13,129515,,,,0.3569,,,,,,,
14,178165,,,,0.0,,,,,,,
0,16130,,,,,0.3669,,,,,,
0,136661,,,,,,0.0001,,,,,
1,133537,,,,,,0.0001,,,,,
2,131662,,,,,,0.0001,,,,,
3,130411,,,,,,0.0001,,,,,
4,129518,,,,,,0.0001,,,,,
5,128849,,,,,,0.0001,,,,,
0,120945,,,,,,,0.001,,,,
1,117821,,,,,,,0.001,,,,
2,115946,,,,,,,0.001,,,,
3,114695,,,,,,,0.001,,,,
4,113802,,,,,,,0.001,,,,
5,113133,,,,,,,0.001,,,,
0,105229,,,,,,,,0.0054,,,
1,102105,,,,,,,,0.0054,,,
2,100230,,,,,,,,0.0054,,,
3,98979,,,,,,,,0.0054,,,
4,98086,,,,,,,,0.0054,,,
5,97417,,,,,,,,0.0054,,,
0,89512,,,,,,,,,0.0235,,
1,86388,,,,,,,,,0.0235,,
2,84513,,,,,,,,,0.0235,,
3,83262,,,,,,,,,0.0235,,
4,82369,,,,,,,,,0.0235,,
5,81700,,,,,,,,,0.0235,,
0,16130,,,,,0.3669,,,,,,
1,17386,,,,,0.3669,,,,,,
2,18634,,,,,0.2015,,,,,,
3,19882,,,,,0.1204,,,,,,
4,21138,,,,,0.063,,,,,,
5,22386,,,,,0.0335,,,,,,
6,23634,,,,,0.0172,,,,,,
7,24882,,,,,0.0087,,,,,,
8,26138,,,,,0.0039,,,,,,
0,16130,,,,,,,,,,0.3669,
0,178133,,,,,,,,,,,0.0
