,Memory usage,RangeBF,LilRosetta p=0.8,Splash Rel. cut-off=0.8,Splash Abs. cut-off=0.8,SuRF Real,Layered CHaREQ h=14 b=3,Layered CHaREQ h=14 b=4,Layered CHaREQ h=14 b=5,Layered CHaREQ h=14 b=6,SuRF Base,FST
0,12534,0.0485,,,,,,,,,,
1,25034,0.0027,,,,,,,,,,
2,37534,0.0002,,,,,,,,,,
3,50034,0.0002,,,,,,,,,,
4,62534,0.0,,,,,,,,,,
5,75034,0.0,,,,,,,,,,
6,87534,0.0,,,,,,,,,,
7,100034,0.0,,,,,,,,,,
0,53310,,0.9653,,,,,,,,,
1,79872,,0.828,,,,,,,,,
2,106435,,0.4599,,,,,,,,,
3,133000,,0.056,,,,,,,,,
4,159567,,0.0129,,,,,,,,,
5,186134,,0.0047,,,,,,,,,
0,127407,,,0.0,,,,,,,,
1,114207,,,0.0,,,,,,,,
2,84738,,,0.0,,,,,,,,
3,71608,,,0.0,,,,,,,,
4,46400,,,0.0,,,,,,,,
5,28426,,,0.0,,,,,,,,
6,24632,,,0.0,,,,,,,,
7,22909,,,0.0,,,,,,,,
8,22842,,,0.0003,,,,,,,,
9,22765,,,0.0118,,,,,,,,
10,22765,,,0.0118,,,,,,,,
0,22765,,,,0.0118,,,,,,,
1,22765,,,,0.0118,,,,,,,
2,22767,,,,0.0118,,,,,,,
3,22807,,,,0.0118,,,,,,,
4,23007,,,,0.0118,,,,,,,
5,23735,,,,0.0118,,,,,,,
6,26995,,,,0.0118,,,,,,,
7,36507,,,,0.0118,,,,,,,
8,60517,,,,0.0118,,,,,,,
9,91063,,,,0.0118,,,,,,,
10,112918,,,,0.0118,,,,,,,
11,122932,,,,0.0118,,,,,,,
12,126267,,,,0.0118,,,,,,,
13,126919,,,,0.0115,,,,,,,
14,127259,,,,0.0112,,,,,,,
0,22717,,,,,0.0118,,,,,,
0,97966,,,,,,0.0,,,,,
1,94842,,,,,,0.0,,,,,
2,92967,,,,,,0.0,,,,,
3,91716,,,,,,0.0,,,,,
4,90823,,,,,,0.0,,,,,
5,90154,,,,,,0.0,,,,,
0,87516,,,,,,,0.0002,,,,
1,84392,,,,,,,0.0002,,,,
2,82517,,,,,,,0.0002,,,,
3,81266,,,,,,,0.0002,,,,
4,80373,,,,,,,0.0002,,,,
5,79704,,,,,,,0.0002,,,,
0,77065,,,,,,,,0.0005,,,
1,73941,,,,,,,,0.0005,,,
2,72066,,,,,,,,0.0005,,,
3,70815,,,,,,,,0.0005,,,
4,69922,,,,,,,,0.0005,,,
5,69253,,,,,,,,0.0005,,,
0,66615,,,,,,,,,0.0015,,
1,63491,,,,,,,,,0.0015,,
2,61616,,,,,,,,,0.0015,,
3,60365,,,,,,,,,0.0015,,
4,59472,,,,,,,,,0.0015,,
5,58803,,,,,,,,,0.0015,,
0,22717,,,,,0.0118,,,,,,
1,23981,,,,,0.0118,,,,,,
2,25229,,,,,0.0071,,,,,,
3,26477,,,,,0.004,,,,,,
4,27725,,,,,0.0022,,,,,,
5,28973,,,,,0.0014,,,,,,
6,30229,,,,,0.0006,,,,,,
7,31477,,,,,0.0003,,,,,,
8,32725,,,,,0.0001,,,,,,
0,22717,,,,,,,,,,0.0118,
0,127375,,,,,,,,,,,0.0
