,Memory usage,RangeBF,LilRosetta p=0.8,Splash Rel. cut-off=0.8,Splash Abs. cut-off=0.8,SuRF Real,Layered CHaREQ h=14 b=3,Layered CHaREQ h=14 b=4,Layered CHaREQ h=14 b=5,Layered CHaREQ h=14 b=6,SuRF Base,FST
0,12534,0.971062,,,,,,,,,,
1,25034,0.75755,,,,,,,,,,
2,37534,0.444596,,,,,,,,,,
3,50034,0.252762,,,,,,,,,,
4,62534,0.151215,,,,,,,,,,
5,75034,0.101126,,,,,,,,,,
6,87534,0.0783963,,,,,,,,,,
7,100034,0.0689256,,,,,,,,,,
0,55719,,0.263285,,,,,,,,,
1,83489,,0.0649269,,,,,,,,,
2,111246,,0.0182048,,,,,,,,,
3,138996,,0.00389351,,,,,,,,,
4,166764,,0.00052615,,,,,,,,,
5,194511,,0.0,,,,,,,,,
0,75291,,,0.0,,,,,,,,
1,73565,,,0.133747,,,,,,,,
2,70146,,,0.133747,,,,,,,,
3,52274,,,0.502999,,,,,,,,
4,48169,,,0.502999,,,,,,,,
5,26384,,,0.824161,,,,,,,,
6,19873,,,0.824161,,,,,,,,
7,18845,,,0.824161,,,,,,,,
8,18184,,,0.830369,,,,,,,,
9,18175,,,0.830369,,,,,,,,
10,18175,,,0.830369,,,,,,,,
0,18175,,,,0.830369,,,,,,,
1,18175,,,,0.830369,,,,,,,
2,18175,,,,0.830369,,,,,,,
3,18177,,,,0.830264,,,,,,,
4,18177,,,,0.830264,,,,,,,
5,18243,,,,0.82858,,,,,,,
6,18386,,,,0.825318,,,,,,,
7,19051,,,,0.813743,,,,,,,
8,21132,,,,0.781332,,,,,,,
9,30879,,,,0.617174,,,,,,,
10,46688,,,,0.37767,,,,,,,
11,62283,,,,0.160581,,,,,,,
12,71125,,,,0.0504051,,,,,,,
13,74287,,,,0.0106282,,,,,,,
14,75198,,,,0.000841839,,,,,,,
0,59490,,,,,0.133747,,,,,,
0,69653,,,,,,0.0685047,,,,,
1,65059,,,,,,0.0711354,,,,,
2,62302,,,,,,0.0725034,,,,,
3,60464,,,,,,0.0774492,,,,,
4,59152,,,,,,0.0774492,,,,,
5,58167,,,,,,0.0832369,,,,,
0,64426,,,,,,,0.0685047,,,,
1,59832,,,,,,,0.0711354,,,,
2,57075,,,,,,,0.0725034,,,,
3,55237,,,,,,,0.0774492,,,,
4,53925,,,,,,,0.0774492,,,,
5,52940,,,,,,,0.0832369,,,,
0,59198,,,,,,,,0.0685047,,,
1,54604,,,,,,,,0.0711354,,,
2,51847,,,,,,,,0.0725034,,,
3,50009,,,,,,,,0.0774492,,,
4,48697,,,,,,,,0.0774492,,,
5,47712,,,,,,,,0.0832369,,,
0,53971,,,,,,,,,0.0685047,,
1,49377,,,,,,,,,0.0711354,,
2,46620,,,,,,,,,0.0725034,,
3,44782,,,,,,,,,0.0774492,,
4,43470,,,,,,,,,0.0774492,,
5,42485,,,,,,,,,0.0832369,,
0,59490,,,,,0.133747,,,,,,
1,60754,,,,,0.133747,,,,,,
2,62002,,,,,0.133747,,,,,,
3,63250,,,,,0.133747,,,,,,
4,64498,,,,,0.133747,,,,,,
5,65754,,,,,0.133747,,,,,,
6,67002,,,,,0.133747,,,,,,
7,68250,,,,,0.133747,,,,,,
8,69498,,,,,0.133747,,,,,,
0,59490,,,,,,,,,,0.133747,
0,75259,,,,,,,,,,,0.0
