,Memory usage,RangeBF,LilRosetta p=0.8,Splash Rel. cut-off=0.8,Splash Abs. cut-off=0.8,SuRF Real,Layered CHaREQ h=14 b=3,Layered CHaREQ h=14 b=4,Layered CHaREQ h=14 b=5,Layered CHaREQ h=14 b=6,SuRF Base,FST
0,12534,0.996113,,,,,,,,,,
1,25034,0.947743,,,,,,,,,,
2,37534,0.799179,,,,,,,,,,
3,50034,0.611423,,,,,,,,,,
4,62534,0.435543,,,,,,,,,,
5,75034,0.308681,,,,,,,,,,
6,87534,0.218311,,,,,,,,,,
7,100034,0.162492,,,,,,,,,,
0,53310,,0.724897,,,,,,,,,
1,79872,,0.402397,,,,,,,,,
2,106435,,0.200281,,,,,,,,,
3,133000,,0.0854027,,,,,,,,,
4,159567,,0.0383287,,,,,,,,,
5,186134,,0.0153315,,,,,,,,,
0,127407,,,0.0,,,,,,,,
1,114207,,,1.0,,,,,,,,
2,84738,,,1.0,,,,,,,,
3,71608,,,1.0,,,,,,,,
4,46400,,,1.0,,,,,,,,
5,28426,,,1.0,,,,,,,,
6,24632,,,1.0,,,,,,,,
7,22909,,,1.0,,,,,,,,
8,22842,,,1.0,,,,,,,,
9,22765,,,1.0,,,,,,,,
10,22765,,,1.0,,,,,,,,
0,22765,,,,1.0,,,,,,,
1,22765,,,,1.0,,,,,,,
2,22767,,,,0.999784,,,,,,,
3,22807,,,,0.998704,,,,,,,
4,23007,,,,0.993522,,,,,,,
5,23735,,,,0.97981,,,,,,,
6,26995,,,,0.929821,,,,,,,
7,36507,,,,0.811272,,,,,,,
8,60517,,,,0.551609,,,,,,,
9,91063,,,,0.287735,,,,,,,
10,112918,,,,0.102678,,,,,,,
11,122932,,,,0.0271,,,,,,,
12,126267,,,,0.00442669,,,,,,,
13,126919,,,,0.00053984,,,,,,,
14,127259,,,,0.000107968,,,,,,,
0,22717,,,,,1.0,,,,,,
0,97966,,,,,,0.0832434,,,,,
1,94842,,,,,,0.0886418,,,,,
2,92967,,,,,,0.0961995,,,,,
3,91716,,,,,,0.102462,,,,,
4,90823,,,,,,0.110451,,,,,
5,90154,,,,,,0.115202,,,,,
0,87516,,,,,,,0.0832434,,,,
1,84392,,,,,,,0.0886418,,,,
2,82517,,,,,,,0.0961995,,,,
3,81266,,,,,,,0.102462,,,,
4,80373,,,,,,,0.110451,,,,
5,79704,,,,,,,0.115202,,,,
0,77065,,,,,,,,0.0832434,,,
1,73941,,,,,,,,0.0886418,,,
2,72066,,,,,,,,0.0961995,,,
3,70815,,,,,,,,0.102462,,,
4,69922,,,,,,,,0.110451,,,
5,69253,,,,,,,,0.115202,,,
0,66615,,,,,,,,,0.0832434,,
1,63491,,,,,,,,,0.0886418,,
2,61616,,,,,,,,,0.0961995,,
3,60365,,,,,,,,,0.102462,,
4,59472,,,,,,,,,0.110451,,
5,58803,,,,,,,,,0.115202,,
0,22717,,,,,1.0,,,,,,
1,23981,,,,,1.0,,,,,,
2,25229,,,,,0.999892,,,,,,
3,26477,,,,,0.999892,,,,,,
4,27725,,,,,0.999784,,,,,,
5,28973,,,,,0.999784,,,,,,
6,30229,,,,,0.999784,,,,,,
7,31477,,,,,0.999784,,,,,,
8,32725,,,,,0.999784,,,,,,
0,22717,,,,,,,,,,1.0,
0,127375,,,,,,,,,,,0.0
