,Memory usage,RangeBF,LilRosetta p=0.7,LilRosetta p=0.8,LilRosetta p=0.9,Splash Rel. cut-off=0.8,Splash Abs. cut-off=0.8,SuRF Real,SuRF Base,FST
0,12534,0.71185,,,,,,,,
1,25034,0.551577,,,,,,,,
2,37534,0.354433,,,,,,,,
3,50034,0.229113,,,,,,,,
4,62534,0.169011,,,,,,,,
5,75034,0.13555,,,,,,,,
6,87534,0.125533,,,,,,,,
7,100034,0.120205,,,,,,,,
0,83478,,0.021526,,,,,,,
1,125153,,0.00277067,,,,,,,
2,166831,,0.0,,,,,,,
3,208509,,0.0,,,,,,,
4,250176,,0.0,,,,,,,
5,291851,,0.0,,,,,,,
0,59675,,,0.0257886,,,,,,
1,89443,,,0.0029838,,,,,,
2,119217,,,0.0,,,,,,
3,148984,,,0.0,,,,,,
4,178761,,,0.0,,,,,,
5,208532,,,0.0,,,,,,
0,35866,,,,0.0421995,,,,,
1,53730,,,,0.00383632,,,,,
2,71605,,,,0.0,,,,,
3,89471,,,,0.0,,,,,
4,107338,,,,0.0,,,,,
5,125202,,,,0.0,,,,,
0,74939,,,,,0.0,,,,
1,73328,,,,,0.385763,,,,
2,70086,,,,,0.385763,,,,
3,51686,,,,,0.663896,,,,
4,47549,,,,,0.664749,,,,
5,25949,,,,,0.749787,,,,
6,19625,,,,,0.803495,,,,
7,18601,,,,,0.822251,,,,
8,17985,,,,,0.834186,,,,
9,17909,,,,,0.835038,,,,
10,17909,,,,,0.835038,,,,
0,17909,,,,,,0.835038,,,
1,17909,,,,,,0.835038,,,
2,17909,,,,,,0.835038,,,
3,17909,,,,,,0.835038,,,
4,17912,,,,,,0.834399,,,
5,17935,,,,,,0.833333,,,
6,18087,,,,,,0.828005,,,
7,18939,,,,,,0.808824,,,
8,21420,,,,,,0.758951,,,
9,31146,,,,,,0.621057,,,
10,47769,,,,,,0.371057,,,
11,62011,,,,,,0.168585,,,
12,70902,,,,,,0.0507246,,,
13,74126,,,,,,0.00916454,,,
14,74783,,,,,,0.00127877,,,
0,60033,,,,,,,0.422421,,
1,61289,,,,,,,0.422421,,
2,62537,,,,,,,0.422421,,
3,63785,,,,,,,0.422421,,
4,65033,,,,,,,0.422421,,
5,66289,,,,,,,0.411338,,
6,67537,,,,,,,0.405371,,
7,68785,,,,,,,0.401108,,
8,70033,,,,,,,0.400256,,
0,60033,,,,,,,,0.422421,
0,74907,,,,,,,,,0.0
