,Suffix size,Query time,Memory usage
0,2,1.14365e-06,216365
1,3,1.19663e-06,203910
2,4,1.20002e-06,203910
3,5,1.21986e-06,203910
4,6,1.24839e-06,198837
5,7,1.22389e-06,198837
6,8,1.19679e-06,198837
7,9,1.18264e-06,198837
8,10,1.18688e-06,198837
9,11,1.18509e-06,198837
10,12,1.23126e-06,196547
11,13,1.22825e-06,196547
12,14,1.23229e-06,196547
13,15,1.22726e-06,196547
14,16,1.22771e-06,196547
