,Suffix size,Query time,Memory usage
0,2,6.81004e-07,553043
1,3,7.05918e-07,472297
2,4,6.93019e-07,472297
3,5,6.99249e-07,472297
4,6,7.0501e-07,472297
5,7,6.96499e-07,472297
6,8,7.00384e-07,472297
7,9,7.08555e-07,472297
8,10,7.03203e-07,472297
9,11,6.88877e-07,472297
10,12,6.97869e-07,452478
11,13,7.13317e-07,452478
12,14,7.18147e-07,452478
13,15,7.10898e-07,452478
14,16,6.96262e-07,452478
