,Suffix size,Query time,Memory usage
0,2,1.16298e-06,240019
1,3,1.10114e-06,240019
2,4,1.08669e-06,240019
3,5,1.07798e-06,240019
4,6,1.17627e-06,220815
5,7,1.17159e-06,220815
6,8,1.17076e-06,220815
7,9,1.18833e-06,220815
8,10,1.2496e-06,220815
9,11,1.23834e-06,220815
10,12,1.33823e-06,220815
11,13,1.25152e-06,220815
12,14,1.26122e-06,220815
13,15,1.25264e-06,220815
14,16,1.32433e-06,220815
