,Suffix size,Query time,Memory usage
0,2,5.56688e-07,188039
1,3,5.5086e-07,188039
2,4,5.42698e-07,188039
3,5,5.52799e-07,188039
4,6,5.39252e-07,188039
5,7,5.47922e-07,188039
6,8,5.39442e-07,188039
7,9,5.40042e-07,188039
8,10,5.37683e-07,188039
9,11,5.51392e-07,188039
10,12,7.00658e-07,164053
11,13,7.00649e-07,164053
12,14,6.97824e-07,164053
13,15,7.08073e-07,164053
14,16,7.00656e-07,164053
