,Suffix size,Query time,Memory usage
0,2,1.46338e-07,216365
1,3,1.49461e-07,203910
2,4,1.48503e-07,203910
3,5,1.46666e-07,203910
4,6,1.52694e-07,198837
5,7,1.52103e-07,198837
6,8,1.48629e-07,198837
7,9,1.51496e-07,198837
8,10,1.50899e-07,198837
9,11,1.50412e-07,198837
10,12,1.55724e-07,196547
11,13,1.55415e-07,196547
12,14,1.56432e-07,196547
13,15,1.55238e-07,196547
14,16,1.55862e-07,196547
