,Suffix size,Query time,Memory usage
0,2,1.44206e-06,216365
1,3,1.48565e-06,203910
2,4,1.48704e-06,203910
3,5,1.48416e-06,203910
4,6,1.56368e-06,198837
5,7,1.54648e-06,198837
6,8,1.53891e-06,198837
7,9,1.5366e-06,198837
8,10,1.54823e-06,198837
9,11,1.5562e-06,198837
10,12,1.60442e-06,196547
11,13,1.59822e-06,196547
12,14,1.60223e-06,196547
13,15,1.59523e-06,196547
14,16,1.58737e-06,196547
