,Suffix size,Query time,Memory usage
0,2,8.05625e-07,240019
1,3,8.3138e-07,240019
2,4,8.13561e-07,240019
3,5,8.05605e-07,240019
4,6,8.65683e-07,220815
5,7,8.61553e-07,220815
6,8,8.69586e-07,220815
7,9,8.5789e-07,220815
8,10,8.62068e-07,220815
9,11,8.58582e-07,220815
10,12,8.57443e-07,220815
11,13,8.68715e-07,220815
12,14,8.60798e-07,220815
13,15,8.57657e-07,220815
14,16,8.64785e-07,220815
