,Memory usage,RangeBF,Splash,SuRF Real,CHaREQ,FST
0,12534,1.0,,,,
1,75034,0.99352,,,,
2,137534,0.97253,,,,
3,200034,0.940455,,,,
4,262534,0.910173,,,,
5,325034,0.889061,,,,
6,387534,0.877323,,,,
7,450034,0.869702,,,,
0,494677,,0.0,,,
1,494265,,0.00582817,,,
2,433928,,0.953049,,,
3,389534,,0.962341,,,
4,344651,,0.968088,,,
5,306715,,0.972041,,,
6,277182,,0.974323,,,
7,211100,,0.975954,,,
8,183780,,0.977095,,,
0,107131,,,0.961607,,
0,693563,,,,0.52156,
1,630523,,,,0.533461,
2,577989,,,,0.553391,
3,533538,,,,0.566637,
4,495437,,,,0.584407,
5,462416,,,,0.599568,
6,433522,,,,0.606007,
7,408028,,,,0.621454,
8,385367,,,,0.62822,
9,365091,,,,0.640773,
0,496227,,,,,0.0189517
