,Memory usage,RangeBF,SuRF Base,SuRF Real,SuRF Hash,SuRF Mixed,FST
0,12534,1.0,,,,,
1,75034,0.98182,,,,,
2,137534,0.901013,,,,,
3,200034,0.779597,,,,,
4,262534,0.644261,,,,,
5,325034,0.520428,,,,,
6,387534,0.415467,,,,,
7,450034,0.334601,,,,,
0,221094,,0.964966,,,,
0,221094,,,0.964966,,,
1,233606,,,0.964966,,,
2,246102,,,0.963828,,,
3,258606,,,0.963828,,,
4,271102,,,0.933676,,,
5,283606,,,0.919745,,,
6,296102,,,0.911893,,,
7,308606,,,0.907233,,,
8,321102,,,0.904863,,,
0,221094,,,,0.964966,,
1,233606,,,,0.964966,,
2,246102,,,,0.964966,,
3,258606,,,,0.964966,,
4,271102,,,,0.964966,,
5,283606,,,,0.964966,,
6,296102,,,,0.964966,,
7,308606,,,,0.964966,,
8,321102,,,,0.964966,,
0,221094,,,,,0.964966,
1,246102,,,,,0.964966,
2,271102,,,,,0.963828,
3,296102,,,,,0.963828,
4,321102,,,,,0.933676,
5,346102,,,,,0.919745,
6,371102,,,,,0.911893,
7,396102,,,,,0.907233,
8,421102,,,,,0.904863,
0,870974,,,,,,0.00524629
