,Memory usage,RangeBF,SuRF Base,SuRF Real,SuRF Hash,SuRF Mixed,FST
0,12534,0.990309,,,,,
1,75034,0.111149,,,,,
2,137534,0.0183415,,,,,
3,200034,0.0037903,,,,,
4,262534,0.00136011,,,,,
5,325034,0.000450036,,,,,
6,387534,0.000340027,,,,,
7,450034,0.000230018,,,,,
0,221094,,0.0181915,,,,
0,221094,,,0.0181915,,,
1,233606,,,0.0181915,,,
2,246102,,,0.0181915,,,
3,258606,,,0.0181915,,,
4,271102,,,0.0100208,,,
5,283606,,,0.00538043,,,
6,296102,,,0.00258021,,,
7,308606,,,0.00151012,,,
8,321102,,,0.000830066,,,
0,221094,,,,0.0181915,,
1,233606,,,,0.0181915,,
2,246102,,,,0.0181915,,
3,258606,,,,0.0181915,,
4,271102,,,,0.0181915,,
5,283606,,,,0.0181915,,
6,296102,,,,0.0181915,,
7,308606,,,,0.0181915,,
8,321102,,,,0.0181915,,
0,221094,,,,,0.0181915,
1,246102,,,,,0.0181915,
2,271102,,,,,0.0181915,
3,296102,,,,,0.0181915,
4,321102,,,,,0.0100208,
5,346102,,,,,0.00538043,
6,371102,,,,,0.00258021,
7,396102,,,,,0.00151012,
8,421102,,,,,0.000830066,
0,870974,,,,,,0.0
