,Memory usage,RangeBF,SuRF Base,SuRF Real,SuRF Hash,SuRF Mixed,FST
0,12534,1.0,,,,,
1,75034,0.999898,,,,,
2,137534,0.995737,,,,,
3,200034,0.979093,,,,,
4,262534,0.945682,,,,,
5,325034,0.895792,,,,,
6,387534,0.836124,,,,,
7,450034,0.779019,,,,,
0,221093,,0.795704,,,,
0,221093,,,0.795704,,,
1,233597,,,0.795704,,,
2,246101,,,0.790006,,,
3,258597,,,0.790006,,,
4,271101,,,0.722836,,,
5,283597,,,0.687704,,,
6,296101,,,0.666858,,,
7,308597,,,0.654867,,,
8,321101,,,0.648636,,,
0,221093,,,,0.795704,,
1,233597,,,,0.795704,,
2,246101,,,,0.795704,,
3,258597,,,,0.795704,,
4,271101,,,,0.795704,,
5,283597,,,,0.795704,,
6,296101,,,,0.795704,,
7,308597,,,,0.795704,,
8,321101,,,,0.795704,,
0,221093,,,,,0.795704,
1,246101,,,,,0.795704,
2,271101,,,,,0.790006,
3,296101,,,,,0.790006,
4,321101,,,,,0.722836,
5,346101,,,,,0.687704,
6,371101,,,,,0.666858,
7,396101,,,,,0.654867,
8,421101,,,,,0.648636,
0,869777,,,,,,0.00565724
