,Memory usage,RangeBF,SuRF Base,SuRF Real,SuRF Hash,SuRF Mixed,FST
0,12534,1.0,,,,,
1,75034,1.0,,,,,
2,137534,1.0,,,,,
3,200034,1.0,,,,,
4,262534,1.0,,,,,
5,325034,1.0,,,,,
6,387534,1.0,,,,,
7,450034,1.0,,,,,
0,220878,,0.977653,,,,
0,220878,,,0.977653,,,
1,233382,,,0.977653,,,
2,245886,,,0.977653,,,
3,258390,,,0.977653,,,
4,270886,,,0.950782,,,
5,283390,,,0.938,,,
6,295886,,,0.930687,,,
7,308382,,,0.926934,,,
8,320886,,,0.925154,,,
0,220878,,,,0.977653,,
1,233382,,,,0.977653,,
2,245886,,,,0.977653,,
3,258390,,,,0.977653,,
4,270886,,,,0.977653,,
5,283390,,,,0.977653,,
6,295886,,,,0.977653,,
7,308382,,,,0.977653,,
8,320886,,,,0.977653,,
0,220878,,,,,0.977653,
1,245886,,,,,0.977653,
2,270886,,,,,0.977653,
3,295886,,,,,0.977653,
4,320886,,,,,0.950782,
5,345886,,,,,0.938,
6,370886,,,,,0.930687,
7,395886,,,,,0.926934,
8,420878,,,,,0.925154,
0,869231,,,,,,0.00971498
