,Memory usage,RangeBF,SuRF Base,SuRF Real,SuRF Hash,SuRF Mixed,FST
0,12534,0.999914,,,,,
1,75034,0.999914,,,,,
2,137534,0.999914,,,,,
3,200034,0.999914,,,,,
4,262534,0.9998,,,,,
5,325034,0.999743,,,,,
6,387534,0.999458,,,,,
7,450034,0.998745,,,,,
0,220527,,0.822172,,,,
0,220527,,,0.822172,,,
1,233031,,,0.822172,,,
2,245535,,,0.821773,,,
3,258031,,,0.821773,,,
4,270535,,,0.74759,,,
5,283039,,,0.710827,,,
6,295535,,,0.691432,,,
7,308039,,,0.679454,,,
8,320535,,,0.673493,,,
0,220527,,,,0.822172,,
1,233031,,,,0.822172,,
2,245535,,,,0.822172,,
3,258031,,,,0.822172,,
4,270535,,,,0.822172,,
5,283039,,,,0.822172,,
6,295535,,,,0.822172,,
7,308039,,,,0.822172,,
8,320535,,,,0.822172,,
0,220527,,,,,0.822172,
1,245535,,,,,0.822172,
2,270535,,,,,0.821773,
3,295535,,,,,0.821773,
4,320535,,,,,0.74759,
5,345535,,,,,0.710827,
6,370535,,,,,0.691432,
7,395535,,,,,0.679454,
8,420535,,,,,0.673493,
0,871006,,,,,,0.00718727
